Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,26,STL,NBA,C,50,0,394,61,139,.439,0,0,0,61,139,.439,.439,25,64,.391,0,0,123,13,0,0,0,85,147
1968-69,27,ATL,NBA,C,78,0,1367,265,568,.467,0,0,0,265,568,.467,.467,154,231,.667,0,0,529,97,0,0,0,239,684
1969-70,28,ATL,NBA,C,82,0,2623,438,943,.464,0,0,0,438,943,.464,.464,240,318,.755,0,0,796,238,0,0,0,335,1116
1970-71,29,ATL,NBA,C,82,0,1864,241,503,.479,0,0,0,241,503,.479,.479,195,288,.677,0,0,546,108,0,0,0,253,677
1971-72,30,TOT,NBA,C,75,0,983,147,338,.435,0,0,0,147,338,.435,.435,100,154,.649,0,0,276,51,0,0,0,138,394
1971-72,30,ATL,NBA,C,11,0,119,8,33,.242,0,0,0,8,33,.242,.242,10,18,.556,0,0,36,8,0,0,0,14,26
1971-72,30,HOU,NBA,C,12,0,180,18,54,.333,0,0,0,18,54,.333,.333,26,38,.684,0,0,44,5,0,0,0,18,62
1971-72,30,DET,NBA,C,52,0,684,121,251,.482,0,0,0,121,251,.482,.482,64,98,.653,0,0,196,38,0,0,0,106,306
1972-73,31,DET,NBA,C,73,0,771,131,257,.510,0,0,0,131,257,.510,.510,72,114,.632,0,0,261,56,0,0,0,126,334
1973-74,32,DET,NBA,C,78,0,947,117,283,.413,0,0,0,117,283,.413,.413,90,139,.647,102,191,293,86,39,30,0,158,324
1974-75,33,DET,NBA,C,79,0,1078,118,260,.454,0,0,0,118,260,.454,.454,85,117,.726,96,189,285,90,50,36,0,129,321
