Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1963-64,22,LAL,NBA,PG,60,0,762,84,198,.424,0,0,0,84,198,.424,.424,66,101,.653,0,0,113,110,0,0,0,99,234
1964-65,23,LAL,NBA,PG,77,0,1671,184,469,.392,0,0,0,184,469,.392,.392,118,151,.781,0,0,214,178,0,0,0,193,486
1965-66,24,LAL,NBA,PG,76,0,1499,238,545,.437,0,0,0,238,545,.437,.437,94,115,.817,0,0,204,223,0,0,0,181,570
1966-67,25,SFW,NBA,SG,67,0,1667,286,685,.418,0,0,0,286,685,.418,.418,174,221,.787,0,0,319,240,0,0,0,193,746
1967-68,26,SFW,NBA,PG,54,0,1743,340,800,.425,0,0,0,340,800,.425,.425,217,268,.810,0,0,243,226,0,0,0,172,897
1968-69,27,SFW,NBA,PG,46,0,1010,137,394,.348,0,0,0,137,394,.348,.348,78,108,.722,0,0,120,123,0,0,0,99,352
1969-70,28,TOT,NBA,PG,34,0,391,53,129,.411,0,0,0,53,129,.411,.411,33,41,.805,0,0,62,52,0,0,0,47,139
1969-70,28,SFW,NBA,PG,3,0,105,19,46,.413,0,0,0,19,46,.413,.413,11,14,.786,0,0,16,10,0,0,0,8,49
1969-70,28,CIN,NBA,PG,31,0,286,34,83,.410,0,0,0,34,83,.410,.410,22,27,.815,0,0,46,42,0,0,0,39,90
1970-71,29,CHI,NBA,PG,55,0,645,100,228,.439,0,0,0,100,228,.439,.439,64,79,.810,0,0,68,78,0,0,0,55,264
1971-72,30,CHI,NBA,SG,73,0,1014,162,356,.455,0,0,0,162,356,.455,.455,89,113,.788,0,0,81,101,0,0,0,103,413
1972-73,31,CHI,NBA,SG,65,0,785,116,263,.441,0,0,0,116,263,.441,.441,44,52,.846,0,0,76,81,0,0,0,76,276
