Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,23,DET,NBA,SG,81,0,1585,289,733,.394,0,0,0,289,733,.394,.394,134,175,.766,0,0,135,226,0,0,0,204,712
1968-69,24,DET,NBA,SG,69,0,1639,312,670,.466,0,0,0,312,670,.466,.466,182,229,.795,0,0,157,221,0,0,0,172,806
1969-70,25,DET,NBA,SG,81,0,2869,666,1394,.478,0,0,0,666,1394,.478,.478,355,440,.807,0,0,242,248,0,0,0,203,1687
1970-71,26,DET,NBA,SG,79,0,2765,524,1201,.436,0,0,0,524,1201,.436,.436,344,414,.831,0,0,207,268,0,0,0,173,1392
1971-72,27,DET,NBA,SG,78,0,3083,634,1386,.457,0,0,0,634,1386,.457,.457,397,480,.827,0,0,231,315,0,0,0,198,1665
1972-73,28,HOU,NBA,PG,81,0,3079,605,1301,.465,0,0,0,605,1301,.465,.465,244,276,.884,0,0,268,442,0,0,0,207,1454
1973-74,29,TOT,NBA,SG,75,0,2958,582,1240,.469,0,0,0,582,1240,.469,.469,273,333,.820,39,165,204,307,81,9,0,170,1437
1973-74,29,HOU,NBA,SG,3,0,38,7,12,.583,0,0,0,7,12,.583,.583,0,1,.000,0,2,2,4,0,0,0,4,14
1973-74,29,KCO,NBA,SG,72,0,2920,575,1228,.468,0,0,0,575,1228,.468,.468,273,332,.822,39,163,202,303,81,9,0,166,1423
1974-75,30,KCO,NBA,SG,81,0,3122,553,1164,.475,0,0,0,553,1164,.475,.475,247,289,.855,51,188,239,226,85,13,0,222,1353
1975-76,31,KCK,NBA,SG,73,0,2490,459,950,.483,0,0,0,459,950,.483,.483,231,267,.865,49,128,177,176,87,14,0,186,1149
