Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985-86,24,SAC,NBA,C,80,18,1180,160,344,.465,0,0,0,160,344,.465,.465,94,130,.723,113,260,373,46,24,34,107,224,414
1986-87,25,SAC,NBA,C,79,31,1658,256,543,.471,0,1,.000,256,542,.472,.471,110,140,.786,173,310,483,71,35,30,90,213,622
1987-88,26,SAC,NBA,C,82,60,1999,324,686,.472,0,0,0,324,686,.472,.472,153,188,.814,179,400,579,93,28,59,107,228,801
1988-89,27,TOT,NBA,C,75,13,1411,175,432,.405,0,2,.000,175,430,.407,.405,134,152,.882,124,254,378,67,33,23,104,192,484
1988-89,27,SAC,NBA,C,47,11,913,116,303,.383,0,1,.000,116,302,.384,.383,81,88,.920,75,166,241,35,18,18,67,126,313
1988-89,27,BOS,NBA,C,28,2,498,59,129,.457,0,1,.000,59,128,.461,.457,53,64,.828,49,88,137,32,15,5,37,66,171
1989-90,28,BOS,NBA,C,81,4,1365,176,367,.480,0,4,.000,176,363,.485,.480,83,100,.830,117,238,355,46,15,27,64,170,435
1990-91,29,BOS,NBA,C,72,1,850,102,218,.468,0,2,.000,102,216,.472,.468,54,69,.783,71,173,244,21,15,14,53,108,258
1991-92,30,BOS,NBA,C,70,3,991,144,293,.491,4,8,.500,140,285,.491,.498,34,48,.708,94,202,296,32,23,14,27,99,326
1992-93,31,BOS,NBA,C,78,3,1129,108,267,.404,0,6,.000,108,261,.414,.404,41,58,.707,113,233,346,39,17,17,37,123,257
1993-94,32,PHO,NBA,C,74,4,848,125,256,.488,5,11,.455,120,245,.490,.498,30,39,.769,50,143,193,45,14,19,35,118,285
1994-95,33,PHO,NBA,C,75,42,968,119,265,.449,0,2,.000,119,263,.452,.449,42,49,.857,82,177,259,39,14,18,35,174,280
1995-96,34,PHO,NBA,C,56,9,663,71,169,.420,2,7,.286,69,162,.426,.426,20,25,.800,36,96,132,44,13,6,37,113,164
1996-97,35,TOT,NBA,C,59,10,848,69,170,.406,2,3,.667,67,167,.401,.412,28,38,.737,62,141,203,35,17,18,41,110,168
1996-97,35,PHO,NBA,C,23,10,365,32,80,.400,1,1,1.000,31,79,.392,.406,13,18,.722,21,59,80,12,9,6,20,47,78
1996-97,35,LAL,NBA,C,8,0,30,2,8,.250,0,0,0,2,8,.250,.250,2,2,1.000,2,7,9,0,0,0,0,6,6
1996-97,35,NJN,NBA,C,28,0,453,35,82,.427,1,2,.500,34,80,.425,.433,13,18,.722,39,75,114,23,8,12,21,57,84
1997-98,36,CHI,NBA,C,46,1,397,39,106,.368,0,0,0,39,106,.368,.368,15,18,.833,27,50,77,30,4,5,28,63,93
1998-99,37,PHO,NBA,C,31,5,374,30,74,.405,0,2,.000,30,72,.417,.405,8,12,.667,27,40,67,12,8,1,10,46,68
1999-00,38,POR,NBA,C,7,0,31,4,11,.364,0,0,0,4,11,.364,.364,3,3,1.000,0,6,6,2,1,0,2,7,11
