Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1975-76,23,TOT,NBA,PF,75,0,1976,332,592,.561,0,0,0,332,592,.561,.561,212,326,.650,143,411,554,127,82,34,0,159,876
1975-76,23,PHO,NBA,PF,43,0,930,186,338,.550,0,0,0,186,338,.550,.550,115,183,.628,61,179,240,62,44,16,0,76,487
1975-76,23,BUF,NBA,PF,32,0,1046,146,254,.575,0,0,0,146,254,.575,.575,97,143,.678,82,232,314,65,38,18,0,83,389
1976-77,24,BUF,NBA,PF,74,0,2601,407,810,.502,0,0,0,407,810,.502,.502,302,450,.671,163,538,701,159,90,84,0,197,1116
1977-78,25,TOT,NBA,PF,80,0,2760,391,773,.506,0,0,0,391,773,.506,.506,400,508,.787,157,525,682,180,90,52,232,200,1182
1977-78,25,BUF,NBA,PF,18,0,590,75,151,.497,0,0,0,75,151,.497,.497,74,99,.747,32,96,128,58,14,9,46,58,224
1977-78,25,DET,NBA,PF,62,0,2170,316,622,.508,0,0,0,316,622,.508,.508,326,409,.797,125,429,554,122,76,43,186,142,958
1978-79,26,Did Not Play(injury)
1979-80,27,TOT,NBA,PF,65,0,1337,207,392,.528,0,1,.000,207,391,.529,.528,165,216,.764,108,255,363,84,40,45,91,126,579
1979-80,27,DET,NBA,PF,9,0,228,35,65,.538,0,0,0,35,65,.538,.538,17,25,.680,18,52,70,9,9,5,14,16,87
1979-80,27,HOU,NBA,PF,29,0,332,34,64,.531,0,0,0,34,64,.531,.531,33,44,.750,25,54,79,23,8,9,27,39,101
1979-80,27,SAS,NBA,PF,27,0,777,138,263,.525,0,1,.000,138,262,.527,.525,115,147,.782,65,149,214,52,23,31,50,71,391
1980-81,28,TOT,NBA,PF,24,0,527,56,131,.427,0,0,0,56,131,.427,.427,55,76,.724,34,54,88,24,21,9,42,49,167
1980-81,28,SAS,NBA,PF,22,0,519,56,128,.438,0,0,0,56,128,.438,.438,53,73,.726,33,54,87,24,21,9,41,46,165
1980-81,28,SEA,NBA,PF,2,0,8,0,3,.000,0,0,0,0,3,.000,.000,2,3,.667,1,0,1,0,0,0,1,3,2
