Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1973-74,22,NYA,ABA,SG,77,0,2264,482,982,.491,2,11,.182,480,971,.494,.492,150,190,.789,68,145,213,243,86,27,208,254,1116
1974-75,23,NYA,ABA,SG,75,0,1872,370,768,.482,3,13,.231,367,755,.486,.484,123,147,.837,51,98,149,197,61,23,148,188,866
1975-76,24,NYA,ABA,SG,76,0,2255,519,1153,.450,8,42,.190,511,1111,.460,.454,187,232,.806,70,120,190,188,76,33,185,224,1233
1976-77,25,TOT,NBA,SG,72,0,2481,618,1347,.459,0,0,0,618,1347,.459,.459,259,329,.787,42,151,193,201,107,13,0,246,1495
1976-77,25,NYN,NBA,SG,42,0,1426,357,803,.445,0,0,0,357,803,.445,.445,161,204,.789,24,95,119,90,59,6,0,143,875
1976-77,25,IND,NBA,SG,30,0,1055,261,544,.480,0,0,0,261,544,.480,.480,98,125,.784,18,56,74,111,48,7,0,103,620
1977-78,26,TOT,NBA,SG,75,0,2731,723,1649,.438,0,0,0,723,1649,.438,.438,331,391,.847,66,161,227,214,94,10,228,236,1777
1977-78,26,IND,NBA,SG,42,0,1449,335,795,.421,0,0,0,335,795,.421,.421,134,161,.832,34,86,120,132,47,0,127,131,804
1977-78,26,NJN,NBA,SG,33,0,1282,388,854,.454,0,0,0,388,854,.454,.454,197,230,.857,32,75,107,82,47,10,101,105,973
1978-79,27,NJN,NBA,SG,74,0,2451,635,1367,.465,0,0,0,635,1367,.465,.465,373,437,.854,53,143,196,255,89,12,233,215,1643
1979-80,28,TOT,NBA,SG,58,0,1374,359,817,.439,11,35,.314,348,782,.445,.446,116,138,.841,38,61,99,126,36,19,92,137,845
1979-80,28,NJN,NBA,SG,28,0,771,206,461,.447,8,19,.421,198,442,.448,.456,76,88,.864,24,30,54,87,26,9,43,71,496
1979-80,28,WSB,NBA,SG,30,0,603,153,356,.430,3,16,.188,150,340,.441,.434,40,50,.800,14,31,45,39,10,10,49,66,349
1980-81,29,WSB,NBA,SG,9,0,112,18,56,.321,1,6,.167,17,50,.340,.330,5,6,.833,0,7,7,17,4,1,12,13,42
