Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980-81,22,SAS,NBA,PG,82,0,1578,249,520,.479,1,19,.053,248,501,.495,.480,105,172,.610,58,138,196,373,120,22,154,178,604
1981-82,23,SAS,NBA,PG,79,78,2294,309,667,.463,1,21,.048,308,646,.477,.464,122,182,.670,62,213,275,762,163,12,175,254,741
1982-83,24,SAS,NBA,PG,77,73,2552,394,841,.468,5,22,.227,389,819,.475,.471,148,199,.744,65,212,277,753,194,32,226,247,941
1983-84,25,SAS,NBA,PG,59,42,1650,231,518,.446,28,87,.322,203,431,.471,.473,105,139,.755,37,141,178,566,123,20,143,168,595
1984-85,26,SAS,NBA,PG,82,82,2689,416,910,.457,25,89,.281,391,821,.476,.471,189,248,.762,94,284,378,816,229,18,236,247,1046
1985-86,27,SAS,NBA,PG,28,23,856,150,303,.495,4,22,.182,146,281,.520,.502,59,86,.686,25,61,86,252,70,6,81,78,363
1986-87,28,SAS,NBA,PG,55,27,1234,198,448,.442,22,79,.278,176,369,.477,.467,56,70,.800,32,68,100,250,83,3,102,97,474
1987-88,29,TOT,NBA,PG,5,0,61,4,10,.400,0,1,.000,4,9,.444,.400,0,0,0,2,4,6,12,3,0,7,1,8
1987-88,29,SAS,NBA,PG,4,0,51,4,9,.444,0,1,.000,4,8,.500,.444,0,0,0,1,3,4,11,3,0,4,1,8
1987-88,29,NJN,NBA,PG,1,0,10,0,1,.000,0,0,0,0,1,.000,.000,0,0,0,1,1,2,1,0,0,3,0,0
1988-89,30,Did Not Play(other pro leagueMexico)
1989-90,31,SAS,NBA,PG,53,8,516,47,126,.373,8,34,.235,39,92,.424,.405,16,27,.593,16,36,52,82,32,3,39,55,118
