Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1992-93,23,MIL,NBA,SG,47,0,552,76,206,.369,21,63,.333,55,143,.385,.420,33,49,.673,10,33,43,68,35,3,42,57,206
1993-94,24,MIL,NBA,SG,72,7,1242,158,382,.414,32,115,.278,126,267,.472,.455,97,122,.795,36,110,146,168,102,17,83,110,445
1994-95,25,MIL,NBA,SG,52,0,602,57,134,.425,16,48,.333,41,86,.477,.485,61,80,.763,15,34,49,85,30,4,41,54,191
1995-96,26,GSW,NBA,SG,68,0,712,91,185,.492,44,93,.473,47,92,.511,.611,31,37,.838,17,46,63,85,33,11,42,51,257
1996-97,27,ATL,NBA,SG,58,8,965,100,246,.407,48,124,.387,52,122,.426,.504,37,46,.804,26,73,99,115,55,3,59,56,285
1997-98,28,LAL,NBA,SG,49,1,374,38,104,.365,18,61,.295,20,43,.465,.452,27,29,.931,8,29,37,51,24,3,22,33,121
1998-99,29,SAC,NBA,SG,43,0,736,59,138,.428,24,79,.304,35,59,.593,.514,71,84,.845,25,71,96,112,53,5,47,61,213
1999-00,30,SAC,NBA,SG,62,1,1281,161,346,.465,66,154,.429,95,192,.495,.561,107,116,.922,38,121,159,150,75,7,85,104,495
2000-01,31,SAC,NBA,SG,62,2,1010,103,255,.404,46,132,.348,57,123,.463,.494,64,73,.877,16,78,94,130,28,6,53,66,316
2001-02,32,DET,NBA,SG,82,6,1985,255,522,.489,121,258,.469,134,264,.508,.604,108,116,.931,42,192,234,274,94,20,111,134,739
2002-03,33,DET,NBA,SG,80,0,1473,191,424,.450,87,214,.407,104,210,.495,.553,86,100,.860,33,147,180,206,63,14,81,104,555
2003-04,34,DEN,NBA,SG,57,9,1101,120,297,.404,51,138,.370,69,159,.434,.490,60,71,.845,25,98,123,147,57,8,53,66,351
2004-05,35,TOT,NBA,SG,69,2,1505,161,368,.438,71,165,.430,90,203,.443,.534,62,71,.873,26,133,159,167,60,9,67,95,455
2004-05,35,ATL,NBA,SG,16,0,275,31,77,.403,11,32,.344,20,45,.444,.474,10,13,.769,4,17,21,28,14,2,14,28,83
2004-05,35,HOU,NBA,SG,53,2,1230,130,291,.447,60,133,.451,70,158,.443,.550,52,58,.897,22,116,138,139,46,7,53,67,372
2005-06,36,HOU,NBA,SG,20,0,342,25,65,.385,12,32,.375,13,33,.394,.477,24,29,.828,1,30,31,26,13,1,22,25,86
