Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,24,WAS,NBA,PG,42,3,647,104,271,.384,25,84,.298,79,187,.422,.430,37,46,.804,13,59,72,40,26,3,42,54,270
2003-04,25,WAS,NBA,SG,71,16,1478,247,637,.388,59,198,.298,188,439,.428,.434,111,139,.799,30,118,148,137,82,4,104,111,664
2004-05,26,WAS,NBA,SG,63,4,1054,186,447,.416,48,147,.327,138,300,.460,.470,87,97,.897,32,87,119,111,43,4,68,98,507
2005-06,27,POR,NBA,SG,76,42,1920,357,821,.435,65,170,.382,292,651,.449,.474,156,194,.804,30,147,177,149,58,6,113,157,935
2006-07,28,TOT,NBA,SG,81,6,1926,299,703,.425,79,226,.350,220,477,.461,.482,101,116,.871,27,131,158,123,76,9,101,177,778
2006-07,28,POR,NBA,SG,55,1,1243,189,444,.426,52,143,.364,137,301,.455,.484,60,72,.833,16,69,85,82,49,7,77,112,490
2006-07,28,TOR,NBA,SG,26,5,683,110,259,.425,27,83,.325,83,176,.472,.477,41,44,.932,11,62,73,41,27,2,24,65,288
2007-08,29,TOT,NBA,PG,53,0,668,106,258,.411,30,72,.417,76,186,.409,.469,21,26,.808,15,60,75,97,21,2,54,62,263
2007-08,29,TOR,NBA,PG,36,0,424,59,160,.369,17,39,.436,42,121,.347,.422,18,19,.947,9,38,47,65,21,2,35,38,153
2007-08,29,DET,NBA,PG,17,0,244,47,98,.480,13,33,.394,34,65,.523,.546,3,7,.429,6,22,28,32,0,0,19,24,110
2008-09,30,WAS,NBA,PG,50,6,816,101,256,.395,25,75,.333,76,181,.420,.443,34,39,.872,8,59,67,118,35,6,70,74,261
