Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990-91,22,NJN,NBA,SF,74,10,859,94,226,.416,1,4,.250,93,222,.419,.418,43,66,.652,61,80,141,51,33,15,26,79,232
1991-92,23,TOT,NBA,SF,28,0,290,29,71,.408,0,1,.000,29,70,.414,.408,12,21,.571,18,34,52,23,19,7,13,31,70
1991-92,23,NJN,NBA,SF,2,0,29,4,8,.500,0,0,0,4,8,.500,.500,0,0,0,2,0,2,2,2,1,1,2,8
1991-92,23,SAS,NBA,SF,11,0,140,15,30,.500,0,0,0,15,30,.500,.500,3,9,.333,6,16,22,11,8,3,5,18,33
1991-92,23,GSW,NBA,SF,15,0,121,10,33,.303,0,1,.000,10,32,.313,.303,9,12,.750,10,18,28,10,9,3,7,11,29
1992-93,24,GSW,NBA,SF,70,9,1287,176,403,.437,20,59,.339,156,344,.453,.462,65,87,.747,81,114,195,94,47,19,55,98,437
1993-94,25,GSW,NBA,SF,36,0,218,42,84,.500,12,29,.414,30,55,.545,.571,10,20,.500,13,19,32,16,8,1,12,24,106
1994-95,26,CHI,NBA,SF,57,0,605,90,183,.492,15,48,.313,75,135,.556,.533,22,39,.564,36,62,98,50,24,12,30,64,217
1995-96,27,CHI,NBA,SF,74,0,740,112,242,.463,40,90,.444,72,152,.474,.545,14,22,.636,45,66,111,56,34,7,39,70,278
1996-97,28,CHI,NBA,SF,76,0,703,58,158,.367,18,54,.333,40,104,.385,.424,5,14,.357,45,81,126,60,23,21,27,50,139
1997-98,29,CHI,NBA,SF,74,0,608,85,176,.483,25,65,.385,60,111,.541,.554,3,6,.500,24,53,77,49,22,15,21,47,198
1998-99,30,DET,NBA,SF,50,0,1056,100,240,.417,61,148,.412,39,92,.424,.544,13,18,.722,29,104,133,57,37,13,21,83,274
1999-00,31,DET,NBA,SF,58,5,657,55,156,.353,18,83,.217,37,73,.507,.410,2,7,.286,30,61,91,33,25,16,13,50,130
2000-01,32,DET,NBA,SF,57,3,737,76,164,.463,32,77,.416,44,87,.506,.561,9,12,.750,20,74,94,39,21,10,25,83,193
2001-02,33,TOT,NBA,SF,66,2,684,44,118,.373,21,60,.350,23,58,.397,.462,2,4,.500,29,87,116,32,21,8,15,53,111
2001-02,33,PHO,NBA,SF,6,0,54,2,6,.333,2,6,.333,0,0,0,.500,0,0,0,2,6,8,3,1,0,1,7,6
2001-02,33,ORL,NBA,SF,60,2,630,42,112,.375,19,54,.352,23,58,.397,.460,2,4,.500,27,81,108,29,20,8,14,46,105
