Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1974-75,23,MIL,NBA,PF,76,0,1755,188,427,.440,0,0,0,188,427,.440,.440,35,49,.714,131,272,403,119,36,19,0,172,411
1975-76,24,MIL,NBA,PF,82,0,1650,234,493,.475,0,0,0,234,493,.475,.475,24,42,.571,115,261,376,96,36,12,0,151,492
1976-77,25,MIL,NBA,PF,64,0,1116,173,334,.518,0,0,0,173,334,.518,.518,12,24,.500,81,181,262,88,33,11,0,102,358
1977-78,26,TOT,NBA,PF,54,0,547,72,167,.431,0,0,0,72,167,.431,.431,9,13,.692,36,72,108,30,5,5,17,41,153
1977-78,26,MIL,NBA,PF,8,0,84,13,28,.464,0,0,0,13,28,.464,.464,0,2,.000,4,10,14,9,0,1,2,4,26
1977-78,26,KCK,NBA,PF,46,0,463,59,139,.424,0,0,0,59,139,.424,.424,9,11,.818,32,62,94,21,5,4,15,37,127
1978-79,27,MIL,NBA,PF,81,0,1598,262,529,.495,0,0,0,262,529,.495,.495,51,73,.699,141,244,385,122,30,27,96,155,575
1979-80,28,SAS,NBA,SF,82,0,1966,369,727,.508,5,29,.172,364,698,.521,.511,131,161,.814,142,244,386,189,54,12,129,186,874
1980-81,29,SAS,NBA,SF,64,0,999,192,369,.520,3,8,.375,189,361,.524,.524,62,88,.705,71,103,174,81,16,14,68,103,449
1981-82,30,TOT,NBA,PF,47,0,483,32,88,.364,0,2,.000,32,86,.372,.364,10,16,.625,39,73,112,22,11,11,20,56,74
1981-82,30,SAS,NBA,PF,13,0,145,9,28,.321,0,1,.000,9,27,.333,.321,3,4,.750,8,27,35,7,1,4,6,16,21
1981-82,30,CLE,NBA,PF,34,0,338,23,60,.383,0,1,.000,23,59,.390,.383,7,12,.583,31,46,77,15,10,7,14,40,53
