Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1981-82,23,DAL,NBA,C,63,27,1085,137,297,.461,0,0,0,137,297,.461,.461,63,108,.583,92,203,295,61,17,82,56,190,337
1982-83,24,DAL,NBA,C,81,12,1515,174,355,.490,1,1,1.000,173,354,.489,.492,77,140,.550,157,247,404,115,24,111,66,287,426
1983-84,25,DAL,NBA,C,82,46,2284,272,523,.520,1,4,.250,271,519,.522,.521,101,162,.623,182,331,513,176,41,144,98,283,646
1984-85,26,DAL,NBA,C,82,40,2010,196,434,.452,0,6,.000,196,428,.458,.452,108,140,.771,136,272,408,183,30,126,95,262,500
1985-86,27,TOT,NBA,PF,80,66,2226,351,694,.506,0,3,.000,351,691,.508,.506,194,262,.740,152,301,453,62,33,105,120,267,896
1985-86,27,DAL,NBA,PF,13,4,280,37,72,.514,0,1,.000,37,71,.521,.514,17,29,.586,23,37,60,14,3,12,13,38,91
1985-86,27,LAC,NBA,PF,67,62,1946,314,622,.505,0,2,.000,314,620,.506,.505,177,233,.760,129,264,393,48,30,93,107,229,805
1986-87,28,TOT,NBA,PF,66,11,1088,155,330,.470,0,4,.000,155,326,.475,.470,81,120,.675,80,107,187,25,20,54,63,156,391
1986-87,28,LAC,NBA,PF,38,6,811,119,252,.472,0,3,.000,119,249,.478,.472,57,88,.648,58,75,133,18,16,41,47,118,295
1986-87,28,DET,NBA,PF,28,5,277,36,78,.462,0,1,.000,36,77,.468,.462,24,32,.750,22,32,54,7,4,13,16,38,96
1987-88,29,SAS,NBA,C,72,7,919,128,257,.498,0,1,.000,128,256,.500,.498,60,83,.723,62,91,153,53,22,56,49,141,316
1988-89,30,Did Not Play(other pro leagueSpain)
1989-90,31,PHI,NBA,C,38,1,314,38,91,.418,0,1,.000,38,90,.422,.418,14,30,.467,22,39,61,6,4,18,12,45,90
