Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980-81,22,DET,NBA,PG,76,0,1581,197,484,.407,4,17,.235,193,467,.413,.411,106,133,.797,24,96,120,249,88,7,166,125,504
1981-82,23,KCK,NBA,PG,81,19,1973,358,757,.473,8,27,.296,350,730,.479,.478,150,189,.794,30,119,149,419,110,1,174,150,874
1982-83,24,KCK,NBA,PG,75,74,2690,599,1218,.492,2,16,.125,597,1202,.497,.493,310,378,.820,44,163,207,610,126,10,272,207,1510
1983-84,25,KCK,NBA,PG,73,73,2363,474,1026,.462,3,10,.300,471,1016,.464,.463,243,313,.776,33,113,146,558,121,10,194,170,1194
1984-85,26,KCK,NBA,PG,72,66,2373,457,913,.501,7,28,.250,450,885,.508,.504,154,194,.794,39,125,164,484,93,8,179,147,1075
1985-86,27,SAC,NBA,PG,75,31,1971,376,776,.485,10,31,.323,366,745,.491,.491,128,161,.795,25,100,125,338,66,2,133,134,890
1986-87,28,LAC,NBA,PG,60,22,1566,295,683,.432,12,72,.167,283,611,.463,.441,139,166,.837,26,77,103,326,60,2,151,107,741
1987-88,29,LAC,NBA,PG,74,51,2024,328,720,.456,26,90,.289,302,630,.479,.474,83,108,.769,21,98,119,383,65,0,152,114,765
1988-89,30,Did Not Play(other pro leagueItaly)
1989-90,31,LAL,NBA,PG,80,3,1333,170,383,.444,32,81,.395,138,302,.457,.486,46,60,.767,12,86,98,217,47,4,95,92,418
1990-91,32,LAL,NBA,PG,48,2,496,54,125,.432,14,33,.424,40,92,.435,.488,17,22,.773,5,29,34,118,15,1,49,40,139
