Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1973-74,23,KCO,NBA,PF,54,0,516,106,220,.482,0,0,0,106,220,.482,.482,99,140,.707,60,86,146,24,35,6,0,76,311
1974-75,24,KCO,NBA,PF,80,0,1749,296,645,.459,0,0,0,296,645,.459,.459,189,241,.784,149,348,497,73,69,27,0,229,781
1975-76,25,KCK,NBA,PF,82,0,1613,295,610,.484,0,0,0,295,610,.484,.484,207,273,.758,157,353,510,72,51,32,0,244,797
1976-77,26,TOT,NBA,PF,24,0,230,47,112,.420,0,0,0,47,112,.420,.420,52,61,.852,28,47,75,6,10,2,0,32,146
1976-77,26,NYN,NBA,PF,8,0,93,18,51,.353,0,0,0,18,51,.353,.353,24,30,.800,10,16,26,3,4,1,0,13,60
1976-77,26,GSW,NBA,PF,16,0,137,29,61,.475,0,0,0,29,61,.475,.475,28,31,.903,18,31,49,3,6,1,0,19,86
1977-78,27,TOT,NBA,PF,46,0,940,162,356,.455,0,0,0,162,356,.455,.455,145,175,.829,80,122,202,47,18,11,67,114,469
1977-78,27,GSW,NBA,PF,9,0,67,6,18,.333,0,0,0,6,18,.333,.333,15,19,.789,2,12,14,2,0,1,7,14,27
1977-78,27,BUF,NBA,PF,37,0,873,156,338,.462,0,0,0,156,338,.462,.462,130,156,.833,78,110,188,45,18,10,60,100,442
1978-79,28,DET,NBA,PF,11,0,46,9,20,.450,0,0,0,9,20,.450,.450,11,12,.917,3,7,10,3,0,0,4,7,29
