Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988-89,22,WSB,NBA,SG,80,6,1459,318,732,.434,9,40,.225,309,692,.447,.441,272,346,.786,100,80,180,123,41,5,128,156,917
1989-90,23,WSB,NBA,SG,78,8,1696,413,940,.439,19,59,.322,394,881,.447,.449,210,280,.750,74,101,175,182,50,4,143,157,1055
1990-91,24,WSB,NBA,SG,67,17,1616,345,762,.453,14,59,.237,331,703,.471,.462,164,222,.739,47,81,128,136,47,10,115,121,868
1991-92,25,WSB,NBA,SG,65,25,1463,355,759,.468,7,35,.200,348,724,.481,.472,139,187,.743,39,139,178,125,47,7,75,145,856
1992-93,26,Did Not Play(other pro leagueCBA)
1993-94,27,Did Not Play
1994-95,28,MIA,NBA,SG,54,6,898,143,326,.439,18,41,.439,125,285,.439,.466,91,126,.722,33,62,95,72,19,2,53,88,395
1995-96,29,WSB,NBA,SG,55,26,1238,161,377,.427,54,128,.422,107,249,.430,.499,98,118,.831,44,104,148,86,28,3,57,84,474
1996-97,30,Did Not Play(other pro leagueIsrael)
1997-98,31,WAS,NBA,SG,42,0,547,75,175,.429,16,46,.348,59,129,.457,.474,52,59,.881,25,50,75,16,17,0,29,43,218
