Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1982-83,23,GSW,NBA,PG,75,10,1416,145,303,.479,0,4,.000,145,299,.485,.479,79,113,.699,69,152,221,253,116,7,99,141,369
1983-84,24,GSW,NBA,SG,82,82,2573,360,730,.493,1,6,.167,359,724,.496,.494,186,259,.718,132,173,305,401,162,12,143,176,907
1984-85,25,GSW,NBA,PG,79,49,2258,246,546,.451,4,20,.200,242,526,.460,.454,144,192,.750,87,159,246,369,161,13,138,136,640
1985-86,26,GSW,NBA,PG,36,0,413,51,136,.375,2,7,.286,49,129,.380,.382,40,54,.741,25,37,62,43,24,1,15,23,144
1986-87,27,Did Not Play(holdout)
1987-88,28,HOU,NBA,PG,52,3,399,50,108,.463,0,7,.000,50,101,.495,.463,32,41,.780,20,18,38,59,38,1,33,31,132
1988-89,29,NJN,NBA,PG,82,63,2532,309,676,.457,13,37,.351,296,639,.463,.467,212,269,.788,100,255,355,604,181,5,181,132,843
1989-90,30,NJN,NBA,PG,82,61,2355,237,573,.414,2,13,.154,235,560,.420,.415,172,214,.804,90,175,265,385,172,8,138,182,648
1990-91,31,TOT,NBA,PG,74,4,1008,96,207,.464,0,5,.000,96,202,.475,.464,68,94,.723,21,91,112,165,85,2,58,75,260
1990-91,31,NJN,NBA,PG,35,2,489,58,111,.523,0,2,.000,58,109,.532,.523,29,42,.690,11,46,57,58,37,1,27,38,145
1990-91,31,MIL,NBA,PG,39,2,519,38,96,.396,0,3,.000,38,93,.409,.396,39,52,.750,10,45,55,107,48,1,31,37,115
1991-92,32,MIL,NBA,PG,81,9,1420,103,239,.431,0,7,.000,103,232,.444,.431,81,115,.704,63,121,184,294,97,10,79,86,287
1992-93,33,LAC,NBA,PG,31,0,422,28,62,.452,0,0,0,28,62,.452,.452,18,19,.947,16,33,49,65,34,4,21,39,74
1993-94,34,IND,NBA,PG,11,0,169,14,38,.368,0,3,.000,14,35,.400,.368,3,6,.500,10,14,24,31,14,1,9,12,31
1994-95,35,LAL,NBA,SG,2,0,5,0,0,0,0,0,0,0,0,0,0,2,2,1.000,0,0,0,0,1,0,0,3,2
