Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991-92,23,MIN,NBA,C,66,3,991,114,249,.458,0,0,0,114,249,.458,.458,53,80,.663,67,190,257,53,35,64,83,157,281
1992-93,24,MIN,NBA,C,55,25,1045,133,292,.455,0,0,0,133,292,.455,.455,53,74,.716,71,169,240,51,47,77,88,169,319
1993-94,25,TOT,NBA,C,76,46,1502,219,465,.471,0,1,.000,219,464,.472,.471,90,125,.720,129,304,433,109,45,79,119,216,528
1993-94,25,MIN,NBA,C,49,29,989,134,289,.464,0,1,.000,134,288,.465,.464,56,80,.700,87,208,295,46,35,58,79,131,324
1993-94,25,CHI,NBA,C,27,17,513,85,176,.483,0,0,0,85,176,.483,.483,34,45,.756,42,96,138,63,10,21,40,85,204
1994-95,26,CHI,NBA,C,55,0,1001,135,302,.447,0,2,.000,135,300,.450,.447,88,107,.822,82,181,263,73,24,45,86,177,358
1995-96,27,CHI,NBA,C,62,62,1641,242,502,.482,0,0,0,242,502,.482,.482,80,103,.777,104,214,318,119,22,84,114,223,564
1996-97,28,CHI,NBA,C,59,59,1472,221,485,.456,0,2,.000,221,483,.458,.456,95,120,.792,121,211,332,141,23,66,111,191,537
1997-98,29,CHI,NBA,C,58,58,1703,277,609,.455,0,0,0,277,609,.455,.455,109,148,.736,113,228,341,161,34,62,130,206,663
1998-99,30,PHO,NBA,C,39,39,933,140,290,.483,0,0,0,140,290,.483,.483,59,76,.776,59,162,221,45,23,21,53,119,339
1999-00,31,PHO,NBA,C,72,68,1417,186,399,.466,0,0,0,186,399,.466,.466,80,97,.825,100,223,323,77,22,42,136,221,452
2000-01,32,NYK,NBA,C,25,2,301,18,54,.333,0,0,0,18,54,.333,.333,13,17,.765,26,40,66,7,3,9,22,51,49
