Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,22,SEA,NBA,PG,81,0,1817,306,692,.442,0,0,0,306,692,.442,.442,182,249,.731,0,0,211,342,0,0,0,201,794
1970-71,23,MIL,NBA,PG,61,0,1162,178,398,.447,0,0,0,178,398,.447,.447,77,110,.700,0,0,152,161,0,0,0,108,433
1971-72,24,MIL,NBA,PG,80,0,2316,441,874,.505,0,0,0,441,874,.505,.505,198,259,.764,0,0,254,333,0,0,0,214,1080
1972-73,25,MIL,NBA,PG,80,0,2693,547,1130,.484,0,0,0,547,1130,.484,.484,143,200,.715,0,0,279,426,0,0,0,188,1237
1973-74,26,MIL,NBA,PG,72,0,2388,526,1062,.495,0,0,0,526,1062,.495,.495,216,274,.788,89,202,291,374,137,22,0,215,1268
1974-75,27,TOT,NBA,PG,66,0,2353,511,1170,.437,0,0,0,511,1170,.437,.437,238,306,.778,90,188,278,372,136,29,0,217,1260
1974-75,27,MIL,NBA,PG,10,0,342,68,164,.415,0,0,0,68,164,.415,.415,31,37,.838,9,22,31,53,14,1,0,23,167
1974-75,27,LAL,NBA,PG,56,0,2011,443,1006,.440,0,0,0,443,1006,.440,.440,207,269,.770,81,166,247,319,122,28,0,194,1093
1975-76,28,LAL,NBA,PG,76,0,2388,461,1004,.459,0,0,0,461,1004,.459,.459,197,254,.776,64,150,214,357,101,20,0,241,1119
1976-77,29,LAL,NBA,PG,78,0,2482,472,1035,.456,0,0,0,472,1035,.456,.456,195,252,.774,58,193,251,405,116,19,0,183,1139
1977-78,30,KCK,NBA,PG,77,0,2147,373,846,.441,0,0,0,373,846,.441,.441,174,220,.791,66,163,229,360,93,28,217,180,920
1978-79,31,KCK,NBA,PG,31,0,413,69,174,.397,0,0,0,69,174,.397,.397,19,33,.576,14,32,46,44,21,6,30,52,157
