Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1975-76,25,SSL,ABA,SF,74,0,2174,380,786,.483,9,24,.375,371,762,.487,.489,137,206,.665,171,288,459,224,127,44,162,225,906
1976-77,26,DET,NBA,SF,82,0,2643,443,931,.476,0,0,0,443,931,.476,.476,205,279,.735,211,420,631,181,165,58,0,287,1091
1977-78,27,DET,NBA,SF,79,0,2556,390,857,.455,0,0,0,390,857,.455,.455,200,271,.738,202,355,557,185,147,27,210,243,980
1978-79,28,DET,NBA,SF,80,0,3207,587,1143,.514,0,0,0,587,1143,.514,.514,323,435,.743,219,370,589,262,197,46,255,279,1497
1979-80,29,BOS,NBA,SF,82,7,1994,362,763,.474,12,41,.293,350,722,.485,.482,178,241,.739,106,224,330,156,120,36,143,214,914
1980-81,30,BOS,NBA,SF,41,7,655,97,216,.449,1,14,.071,96,202,.475,.451,53,67,.791,26,57,83,56,30,18,47,74,248
1981-82,31,BOS,NBA,SF,56,27,1296,184,409,.450,5,17,.294,179,392,.457,.456,82,116,.707,56,94,150,128,67,21,63,136,455
1982-83,32,BOS,NBA,SF,77,0,883,135,315,.429,3,19,.158,132,296,.446,.433,60,81,.741,51,86,137,71,48,10,79,140,333
1983-84,33,BOS,NBA,SF,60,1,585,70,171,.409,3,15,.200,67,156,.429,.418,42,48,.875,26,49,75,49,17,4,46,67,185
1984-85,34,BOS,NBA,SF,47,0,397,62,149,.416,9,23,.391,53,126,.421,.446,17,17,1.000,21,22,43,24,21,6,24,44,150
