Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,23,TOT,ABA,C,78,0,2089,299,756,.396,0,1,.000,299,755,.396,.396,160,229,.699,322,441,763,92,0,0,97,253,758
1968-69,23,KEN,ABA,C,31,0,674,88,238,.370,0,0,0,88,238,.370,.370,46,67,.687,87,147,234,32,0,0,31,103,222
1968-69,23,NYA,ABA,C,20,0,713,96,289,.332,0,1,.000,96,288,.333,.332,58,81,.716,133,150,283,40,0,0,34,62,250
1968-69,23,DLC,ABA,C,27,0,702,115,229,.502,0,0,0,115,229,.502,.502,56,81,.691,102,144,246,20,0,0,32,88,286
1969-70,24,DLC,ABA,C,84,0,3086,636,1287,.494,0,2,.000,636,1285,.495,.494,305,428,.713,427,620,1047,100,0,0,181,283,1577
1970-71,25,TOT,ABA,C,80,0,2614,510,1080,.472,0,1,.000,510,1079,.473,.472,279,381,.732,317,538,855,104,0,0,170,211,1299
1970-71,25,TEX,ABA,C,40,0,1187,236,527,.448,0,0,0,236,527,.448,.448,149,202,.738,181,289,470,55,0,0,70,103,621
1970-71,25,NYA,ABA,C,40,0,1427,274,553,.495,0,1,.000,274,552,.496,.495,130,179,.726,136,249,385,49,0,0,100,108,678
1971-72,26,TOT,ABA,C,69,0,1443,240,580,.414,0,1,.000,240,579,.415,.414,74,121,.612,145,267,412,55,0,0,73,136,554
1971-72,26,NYA,ABA,C,9,0,142,24,71,.338,0,0,0,24,71,.338,.338,6,9,.667,11,32,43,4,0,0,5,10,54
1971-72,26,UTS,ABA,C,42,0,575,92,251,.367,0,0,0,92,251,.367,.367,39,65,.600,83,110,193,25,0,0,29,71,223
1971-72,26,FLO,ABA,C,18,0,726,124,258,.481,0,1,.000,124,257,.482,.481,29,47,.617,51,125,176,26,0,0,39,55,277
1972-73,27,PHI,NBA,C,82,0,2530,377,933,.404,0,0,0,377,933,.404,.404,144,200,.720,0,0,677,95,0,0,0,191,898
1973-74,28,CAP,NBA,C,53,0,845,79,232,.341,0,0,0,79,232,.341,.341,58,83,.699,94,150,244,25,10,39,0,95,216
