Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,22,BOS,NBA,PG,81,2,1385,177,442,.400,27,86,.314,150,356,.421,.431,99,131,.756,30,103,133,175,88,13,125,171,480
2004-05,23,BOS,NBA,PG,81,2,1145,115,286,.402,21,59,.356,94,227,.414,.439,121,163,.742,29,97,126,155,63,13,79,146,372
2005-06,24,TOT,NBA,PG,58,29,1497,219,468,.468,22,63,.349,197,405,.486,.491,118,147,.803,23,112,135,220,54,11,119,162,578
2005-06,24,BOS,NBA,PG,18,1,269,33,80,.413,6,19,.316,27,61,.443,.450,27,30,.900,4,15,19,32,7,0,23,38,99
2005-06,24,MIN,NBA,PG,40,28,1228,186,388,.479,16,44,.364,170,344,.494,.500,91,117,.778,19,97,116,188,47,11,96,124,479
2006-07,25,PHO,NBA,PG,45,1,503,84,196,.429,5,29,.172,79,167,.473,.441,48,60,.800,10,28,38,60,23,3,40,70,221
2007-08,26,TOT,NBA,PG,36,3,569,86,191,.450,40,102,.392,46,89,.517,.555,27,35,.771,4,41,45,61,14,13,37,65,239
2007-08,26,PHO,NBA,PG,24,1,310,44,109,.404,25,65,.385,19,44,.432,.518,12,16,.750,3,17,20,25,8,8,16,38,125
2007-08,26,MIA,NBA,PG,12,2,259,42,82,.512,15,37,.405,27,45,.600,.604,15,19,.789,1,24,25,36,6,5,21,27,114
2008-09,27,TOT,NBA,PG,22,0,206,21,57,.368,3,19,.158,18,38,.474,.395,11,18,.611,1,17,18,28,11,2,14,26,56
2008-09,27,MIA,NBA,PG,16,0,166,15,39,.385,2,14,.143,13,25,.520,.410,10,15,.667,0,15,15,22,10,2,11,21,42
2008-09,27,TOR,NBA,PG,6,0,40,6,18,.333,1,5,.200,5,13,.385,.361,1,3,.333,1,2,3,6,1,0,3,5,14
2009-10,28,TOR,NBA,PG,22,0,244,39,73,.534,7,24,.292,32,49,.653,.582,24,29,.828,3,20,23,26,12,2,20,30,109
2010-11,29,TOR,NBA,PG,3,0,22,0,2,.000,0,0,0,0,2,.000,.000,6,8,.750,0,1,1,3,1,0,2,4,6
