Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,25,BOS,NBA,C,64,50,1098,101,200,.505,0,0,0,101,200,.505,.505,46,66,.697,97,134,231,32,39,76,62,183,248
2001-02,26,BOS,NBA,C,44,0,415,32,76,.421,0,0,0,32,76,.421,.421,30,37,.811,26,59,85,10,16,19,23,59,94
2002-03,27,TOT,NBA,C,81,31,1403,150,347,.432,0,0,0,150,347,.432,.432,101,139,.727,111,197,308,56,42,68,103,187,401
2002-03,27,DEN,NBA,C,54,24,885,105,267,.393,0,0,0,105,267,.393,.393,71,99,.717,62,121,183,35,22,51,70,112,281
2002-03,27,BOS,NBA,C,27,7,518,45,80,.563,0,0,0,45,80,.563,.563,30,40,.750,49,76,125,21,20,17,33,75,120
2003-04,28,BOS,NBA,C,82,73,2402,342,604,.566,0,0,0,342,604,.566,.566,159,221,.719,207,382,589,75,80,106,150,253,843
2004-05,29,BOS,NBA,C,82,57,2130,327,618,.529,0,1,.000,327,617,.530,.529,117,164,.713,143,254,397,129,33,64,158,229,771
2005-06,30,TOT,NBA,C,81,55,2240,373,734,.508,0,0,0,373,734,.508,.508,168,222,.757,96,269,365,99,40,76,194,254,914
2005-06,30,BOS,NBA,C,39,25,1083,194,380,.511,0,0,0,194,380,.511,.511,97,127,.764,36,126,162,66,15,36,120,107,485
2005-06,30,MIN,NBA,C,42,30,1157,179,354,.506,0,0,0,179,354,.506,.506,71,95,.747,60,143,203,33,25,40,74,147,429
2006-07,31,MIN,NBA,C,82,81,2544,427,839,.509,9,31,.290,418,808,.517,.514,147,195,.754,136,369,505,67,43,58,159,239,1010
2007-08,32,MIA,NBA,C,69,46,1542,238,515,.462,17,44,.386,221,471,.469,.479,88,138,.638,69,194,263,41,33,34,70,133,581
2008-09,33,MIA,NBA,C,20,0,207,30,78,.385,11,27,.407,19,51,.373,.455,8,13,.615,10,31,41,4,1,7,14,17,79
