Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987-88,22,NYK,NBA,PG,82,80,3249,438,1013,.432,32,126,.254,406,887,.458,.448,206,266,.774,120,276,396,868,205,6,258,244,1114
1988-89,23,NYK,NBA,PG,72,72,2477,479,1025,.467,81,240,.338,398,785,.507,.507,180,258,.698,106,235,341,619,139,7,226,163,1219
1989-90,24,NYK,NBA,PG,82,69,2428,327,749,.437,35,131,.267,292,618,.472,.460,120,165,.727,106,212,318,604,109,4,211,121,809
1990-91,25,NYK,NBA,PG,72,21,1595,250,508,.492,13,51,.255,237,457,.519,.505,117,160,.731,62,135,197,452,60,9,135,81,630
1991-92,26,NYK,NBA,PG,81,81,2461,367,747,.491,11,43,.256,356,704,.506,.499,171,222,.770,95,210,305,694,112,13,211,153,916
1992-93,27,LAC,NBA,PG,82,81,3117,459,945,.486,22,82,.268,437,863,.506,.497,241,300,.803,129,259,388,724,136,12,220,158,1181
1993-94,28,LAC,NBA,PG,79,79,2711,331,732,.452,36,127,.283,295,605,.488,.477,167,211,.791,107,241,348,678,120,6,232,115,865
1994-95,29,IND,NBA,PG,82,67,2402,239,566,.422,27,87,.310,212,479,.443,.446,119,153,.778,73,233,306,616,105,16,210,148,624
1995-96,30,IND,NBA,PG,81,81,2643,296,626,.473,64,149,.430,232,477,.486,.524,150,191,.785,66,241,307,635,100,5,201,153,806
1996-97,31,TOT,NBA,PG,82,82,3054,289,679,.426,66,178,.371,223,501,.445,.474,168,213,.789,91,304,395,935,97,12,274,161,812
1996-97,31,DEN,NBA,PG,52,52,2001,192,452,.425,48,121,.397,144,331,.435,.478,109,136,.801,71,200,271,641,51,9,172,104,541
1996-97,31,IND,NBA,PG,30,30,1053,97,227,.427,18,57,.316,79,170,.465,.467,59,77,.766,20,104,124,294,46,3,102,57,271
1997-98,32,IND,NBA,PG,82,82,2413,249,598,.416,43,137,.314,206,461,.447,.452,137,180,.761,67,255,322,713,84,2,174,132,678
1998-99,33,IND,NBA,PG,49,49,1382,138,329,.419,32,103,.311,106,226,.469,.468,65,79,.823,33,151,184,386,42,3,99,58,373
1999-00,34,IND,NBA,PG,81,81,2190,246,570,.432,89,221,.403,157,349,.450,.510,79,98,.806,63,233,296,650,76,10,174,111,660
2000-01,35,TOT,NBA,PG,83,82,2588,244,583,.419,70,207,.338,174,376,.463,.479,73,93,.785,63,242,305,661,84,7,175,139,631
2000-01,35,TOR,NBA,PG,54,54,1802,170,403,.422,57,165,.345,113,238,.475,.493,64,76,.842,42,143,185,498,63,7,117,83,461
2000-01,35,NYK,NBA,PG,29,28,786,74,180,.411,13,42,.310,61,138,.442,.447,9,17,.529,21,99,120,163,21,0,58,56,170
2001-02,36,NYK,NBA,PG,82,82,2367,260,592,.439,79,195,.405,181,397,.456,.506,87,110,.791,56,253,309,605,74,1,150,162,686
2002-03,37,UTA,NBA,PG,82,0,1467,147,369,.398,27,95,.284,120,274,.438,.435,61,80,.763,34,142,176,375,48,3,152,90,382
2003-04,38,HOU,NBA,PG,42,3,577,34,100,.340,7,41,.171,27,59,.458,.375,28,39,.718,10,60,70,119,17,1,53,41,103
