Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991-92,22,DEN,NBA,SG,76,67,2304,333,889,.375,4,30,.133,329,859,.383,.377,135,185,.730,80,140,220,168,154,14,155,242,805
1992-93,23,DEN,NBA,PG,48,27,1141,158,381,.415,0,6,.000,158,375,.421,.415,42,60,.700,33,70,103,126,69,3,72,135,358
1993-94,24,TOT,NBA,SG,42,1,496,69,184,.375,2,10,.200,67,174,.385,.380,23,34,.676,18,23,41,51,39,1,40,73,163
1993-94,24,DEN,NBA,SG,7,0,126,14,45,.311,0,3,.000,14,42,.333,.311,8,10,.800,3,4,7,11,6,1,14,17,36
1993-94,24,DET,NBA,SG,35,1,370,55,139,.396,2,7,.286,53,132,.402,.403,15,24,.625,15,19,34,40,33,0,26,56,127
1994-95,25,DET,NBA,SG,55,6,721,101,265,.381,20,62,.323,81,203,.399,.419,54,68,.794,29,47,76,63,67,1,41,97,276
1995-96,26,DET,NBA,PG,23,0,287,29,67,.433,7,15,.467,22,52,.423,.485,9,11,.818,10,12,22,16,15,0,9,34,74
1996-97,27,Did Not Play
1997-98,28,Did Not Play
1998-99,29,DET,NBA,SG,7,3,69,4,20,.200,1,3,.333,3,17,.176,.225,0,0,0,3,2,5,4,5,1,6,6,9
