Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991-92,24,SEA,NBA,C,45,1,381,48,101,.475,0,0,0,48,101,.475,.475,24,32,.750,33,36,69,12,9,7,27,40,120
1992-93,25,SAC,NBA,C,46,0,467,81,171,.474,0,4,.000,81,167,.485,.474,57,81,.704,48,75,123,37,13,5,28,43,219
1993-94,26,TOT,NBA,C,30,9,579,95,165,.576,0,2,.000,95,163,.583,.576,43,53,.811,53,86,139,34,9,8,33,69,233
1993-94,26,CHH,NBA,C,16,8,378,66,109,.606,0,1,.000,66,108,.611,.606,31,38,.816,34,55,89,28,5,7,23,36,163
1993-94,26,WSB,NBA,C,14,1,201,29,56,.518,0,1,.000,29,55,.527,.518,12,15,.800,19,31,50,6,4,1,10,33,70
1994-95,27,MIL,NBA,C,82,3,2064,344,647,.532,8,29,.276,336,618,.544,.538,119,194,.613,160,266,426,110,42,18,123,218,815
1995-96,28,MIL,NBA,C,74,1,958,153,327,.468,5,30,.167,148,297,.498,.476,84,110,.764,58,119,177,68,20,11,79,126,395
1996-97,29,BOS,NBA,C,74,15,1614,214,454,.471,2,10,.200,212,444,.477,.474,144,171,.842,128,195,323,104,46,18,109,154,574
1997-98,30,MIA,NBA,C,18,0,209,28,62,.452,0,0,0,28,62,.452,.452,32,44,.727,16,30,46,12,9,5,11,27,88
1998-99,31,MIA,NBA,C,7,0,35,3,13,.231,0,0,0,3,13,.231,.231,2,2,1.000,1,4,5,1,0,1,3,6,8
1999-00,32,LAC,NBA,C,3,0,9,1,2,.500,0,0,0,1,2,.500,.500,0,0,0,1,1,2,0,0,0,0,1,2
