Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,23,TOT,NBA,SG,16,0,70,7,16,.438,1,3,.333,6,13,.462,.469,4,6,.667,1,5,6,2,1,0,6,8,19
2003-04,23,POR,NBA,SG,13,0,48,5,11,.455,1,3,.333,4,8,.500,.500,2,2,1.000,0,3,3,1,0,0,2,3,13
2003-04,23,SAS,NBA,SG,3,0,22,2,5,.400,0,0,0,2,5,.400,.400,2,4,.500,1,2,3,1,1,0,4,5,6
2004-05,24,CHA,NBA,SG,25,0,430,70,180,.389,13,39,.333,57,141,.404,.425,71,83,.855,13,47,60,17,17,2,25,37,224
2005-06,25,CHA,NBA,SG,78,6,1275,192,476,.403,72,185,.389,120,291,.412,.479,138,168,.821,34,123,157,35,47,11,48,120,594
2006-07,26,CHA,NBA,SG,72,47,1878,285,658,.433,111,267,.416,174,391,.445,.517,188,208,.904,35,172,207,91,53,9,73,176,869
2007-08,27,CHA,NBA,SG,80,18,2016,252,589,.428,105,241,.436,147,348,.422,.517,111,138,.804,33,193,226,73,46,19,58,187,720
2008-09,28,TOT,NBA,SG,55,10,616,65,171,.380,13,53,.245,52,118,.441,.418,21,25,.840,7,62,69,27,21,6,33,67,164
2008-09,28,CHA,NBA,SG,34,10,475,56,138,.406,12,45,.267,44,93,.473,.449,15,19,.789,5,50,55,24,18,5,26,53,139
2008-09,28,DAL,NBA,SG,21,0,141,9,33,.273,1,8,.125,8,25,.320,.288,6,6,1.000,2,12,14,3,3,1,7,14,25
2009-10,29,DAL,NBA,SG,25,0,121,18,50,.360,4,19,.211,14,31,.452,.400,6,6,1.000,4,8,12,6,5,0,7,13,46
2010-11,30,CHA,NBA,SG,54,1,582,89,199,.447,17,46,.370,72,153,.471,.490,40,52,.769,12,56,68,23,17,6,23,43,235
2011-12,31,CHA,NBA,SG,53,2,596,52,157,.331,8,43,.186,44,114,.386,.357,30,38,.789,8,50,58,38,16,7,24,52,142
2012-13,32,CHA,NBA,SG,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
