Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1974-75,22,SSL,ABA,C,80,0,2464,438,937,.467,2,9,.222,436,928,.470,.469,180,229,.786,282,534,816,287,89,64,208,301,1058
1975-76,23,TOT,ABA,PF-C,86,0,2861,620,1346,.461,3,18,.167,617,1328,.465,.462,217,283,.767,297,673,970,224,75,57,298,332,1460
1975-76,23,SSL,ABA,C,28,0,1065,252,548,.460,0,11,.000,252,537,.469,.460,68,93,.731,106,316,422,77,19,21,112,104,572
1975-76,23,KEN,ABA,PF,58,0,1796,368,798,.461,3,7,.429,365,791,.461,.463,149,190,.784,191,357,548,147,56,36,186,228,888
1976-77,24,POR,NBA,PF,79,0,2863,632,1357,.466,0,0,0,632,1357,.466,.466,335,438,.765,271,628,899,229,83,56,0,294,1599
1977-78,25,POR,NBA,PF,68,0,2119,453,989,.458,0,0,0,453,989,.458,.458,207,270,.767,186,435,621,173,61,56,192,221,1113
1978-79,26,POR,NBA,PF,69,0,2462,568,1208,.470,0,0,0,568,1208,.470,.470,270,345,.783,192,524,716,215,66,81,233,254,1406
1979-80,27,TOT,NBA,PF,63,0,1884,371,813,.456,2,9,.222,369,804,.459,.458,179,239,.749,143,394,537,208,42,62,218,223,923
1979-80,27,POR,NBA,PF,41,0,1176,243,552,.440,2,5,.400,241,547,.441,.442,100,137,.730,85,240,325,125,23,35,148,141,588
1979-80,27,NJN,NBA,PF,22,0,708,128,261,.490,0,4,.000,128,257,.498,.490,79,102,.775,58,154,212,83,19,27,70,82,335
1980-81,28,NJN,NBA,PF,68,0,2162,404,835,.484,0,2,.000,404,833,.485,.484,191,254,.752,153,422,575,173,57,59,176,260,999
1981-82,29,NYK,NBA,PF,80,74,2671,505,1001,.504,0,3,.000,505,998,.506,.504,253,349,.725,274,629,903,179,68,70,173,309,1263
1982-83,30,PHO,NBA,PF,77,71,2586,495,1045,.474,1,3,.333,494,1042,.474,.474,278,356,.781,201,598,799,219,56,43,221,274,1269
1983-84,31,PHO,NBA,PF,75,69,2309,451,908,.497,0,5,.000,451,903,.499,.497,293,383,.765,208,517,725,203,55,39,177,235,1195
1984-85,32,PHO,NBA,PF,63,22,1670,346,727,.476,0,4,.000,346,723,.479,.476,150,200,.750,138,419,557,145,39,17,151,183,842
1985-86,33,LAL,NBA,PF,77,8,1750,302,653,.462,1,2,.500,301,651,.462,.463,180,230,.783,164,402,566,84,45,24,121,253,785
1986-87,34,SEA,NBA,PF,63,0,1120,175,388,.451,0,5,.000,175,383,.457,.451,150,187,.802,88,219,307,65,34,21,75,171,500
1987-88,35,POR,NBA,PF,73,0,1191,168,373,.450,0,3,.000,168,370,.454,.450,109,148,.736,101,214,315,94,33,10,73,188,445
