Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998-99,23,LAC,NBA,C,45,36,1279,172,399,.431,0,0,0,172,399,.431,.431,57,118,.483,120,237,357,25,27,55,85,137,401
1999-00,24,LAC,NBA,C,80,77,2493,330,756,.437,0,0,0,330,756,.437,.437,123,189,.651,194,462,656,38,35,140,177,304,783
2000-01,25,LAC,NBA,C,82,82,2127,308,708,.435,0,0,0,308,708,.435,.435,85,156,.545,168,357,525,46,30,108,169,250,701
2001-02,26,LAC,NBA,C,80,79,2568,384,886,.433,0,0,0,384,886,.433,.433,117,188,.622,164,547,711,90,55,145,175,217,885
2002-03,27,LAC,NBA,C,36,36,1369,186,436,.427,0,0,0,186,436,.427,.427,69,105,.657,57,271,328,47,18,79,98,110,441
2003-04,28,MIN,NBA,C,43,25,925,121,285,.425,0,0,0,121,285,.425,.425,36,61,.590,78,167,245,24,16,68,54,137,278
2004-05,29,MIN,NBA,C,62,34,1215,161,353,.456,0,0,0,161,353,.456,.456,46,69,.667,106,218,324,29,15,56,68,193,368
2005-06,30,TOT,NBA,C,48,24,919,107,240,.446,0,0,0,107,240,.446,.446,24,47,.511,50,170,220,23,22,33,55,122,238
2005-06,30,MIN,NBA,C,32,24,752,87,195,.446,0,0,0,87,195,.446,.446,19,39,.487,45,134,179,17,19,27,41,100,193
2005-06,30,BOS,NBA,C,16,0,167,20,45,.444,0,0,0,20,45,.444,.444,5,8,.625,5,36,41,6,3,6,14,22,45
2006-07,31,BOS,NBA,C,24,0,234,19,46,.413,0,0,0,19,46,.413,.413,2,3,.667,14,34,48,5,8,13,17,48,40
