Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1982-83,22,SAS,NBA,SF,26,0,393,76,157,.484,0,2,.000,76,155,.490,.484,31,43,.721,31,63,94,19,18,6,28,57,183
1983-84,23,PHO,NBA,SF,50,0,586,97,203,.478,0,0,0,97,203,.478,.478,29,42,.690,40,63,103,44,23,12,44,101,223
1984-85,24,PHO,NBA,SF,21,11,418,85,175,.486,0,0,0,85,175,.486,.486,45,59,.763,38,51,89,29,23,4,34,59,215
1985-86,25,PHO,NBA,SF,82,5,1644,347,676,.513,3,15,.200,344,661,.520,.516,208,257,.809,104,169,273,150,76,31,143,236,905
1986-87,26,PHO,NBA,SF,82,4,1655,357,722,.494,2,17,.118,355,705,.504,.496,143,183,.781,101,170,271,126,61,23,105,210,859
1987-88,27,TOT,NBA,SF,59,16,883,153,303,.505,0,1,.000,153,302,.507,.505,59,76,.776,38,71,109,56,31,9,50,131,365
1987-88,27,PHO,NBA,SF,35,5,466,82,171,.480,0,1,.000,82,170,.482,.480,39,53,.736,28,34,62,30,18,4,27,73,203
1987-88,27,CLE,NBA,SF,24,11,417,71,132,.538,0,0,0,71,132,.538,.538,20,23,.870,10,37,47,26,13,5,23,58,162
1988-89,28,CLE,NBA,SF,82,82,2102,332,733,.453,3,10,.300,329,723,.455,.455,97,135,.719,98,209,307,133,89,32,104,230,764
1989-90,29,IND,NBA,SF,82,13,1531,225,479,.470,5,14,.357,220,465,.473,.475,55,75,.733,78,152,230,89,43,23,79,220,510
1990-91,30,IND,NBA,SF,80,7,1357,206,494,.417,4,20,.200,202,474,.426,.421,47,57,.825,73,112,185,106,37,26,65,198,463
1991-92,31,TOT,NBA,SF,31,20,633,92,161,.571,1,3,.333,91,158,.576,.575,36,47,.766,27,69,96,53,24,10,22,83,221
1991-92,31,IND,NBA,SF,10,0,81,11,22,.500,0,0,0,11,22,.500,.500,5,6,.833,0,8,8,11,2,1,6,8,27
1991-92,31,CLE,NBA,SF,21,20,552,81,139,.583,1,3,.333,80,136,.588,.586,31,41,.756,27,61,88,42,22,9,16,75,194
1992-93,32,CLE,NBA,SF,53,51,1189,197,396,.497,1,4,.250,196,392,.500,.499,59,78,.756,52,118,170,75,39,30,57,150,454
