Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,23,TOT,NBA,PG-SG,46,7,688,50,148,.338,10,35,.286,40,113,.354,.372,37,47,.787,20,51,71,92,27,4,28,69,147
2002-03,23,ATL,NBA,SG,15,7,364,29,81,.358,6,17,.353,23,64,.359,.395,21,29,.724,9,32,41,42,16,1,16,38,85
2002-03,23,MIN,NBA,PG,31,0,324,21,67,.313,4,18,.222,17,49,.347,.343,16,18,.889,11,19,30,50,11,3,12,31,62
2003-04,24,HOU,NBA,PG,26,0,145,17,36,.472,6,10,.600,11,26,.423,.556,10,12,.833,3,13,16,17,3,0,7,15,50
2004-05,25,SAS,NBA,PG,48,0,278,32,77,.416,5,16,.313,27,61,.443,.448,12,16,.750,4,21,25,33,14,1,14,26,81
2005-06,26,TOT,NBA,PG,47,0,348,29,90,.322,3,19,.158,26,71,.366,.339,25,41,.610,9,30,39,32,14,1,24,34,86
2005-06,26,CLE,NBA,PG,37,0,243,17,59,.288,2,14,.143,15,45,.333,.305,6,12,.500,6,21,27,18,8,1,15,27,42
2005-06,26,SEA,NBA,PG,10,0,105,12,31,.387,1,5,.200,11,26,.423,.403,19,29,.655,3,9,12,14,6,0,9,7,44
2006-07,27,SEA,NBA,PG,47,4,534,66,141,.468,5,15,.333,61,126,.484,.486,33,42,.786,15,39,54,79,15,4,31,53,170
2007-08,28,TOT,NBA,PG,15,0,188,17,36,.472,3,8,.375,14,28,.500,.514,4,4,1.000,5,14,19,14,9,0,9,13,41
2007-08,28,DEN,NBA,PG,8,0,122,10,23,.435,2,5,.400,8,18,.444,.478,2,2,1.000,4,8,12,6,5,0,5,9,24
2007-08,28,WAS,NBA,PG,4,0,44,2,4,.500,1,2,.500,1,2,.500,.625,0,0,0,1,5,6,3,3,0,1,2,5
2007-08,28,SEA,NBA,PG,3,0,22,5,9,.556,0,1,.000,5,8,.625,.556,2,2,1.000,0,1,1,5,1,0,3,2,12
2008-09,29,Did Not Play(injuryknee)
2009-10,30,OKC,NBA,PG,4,0,59,6,12,.500,2,3,.667,4,9,.444,.583,2,4,.500,1,3,4,4,0,0,4,5,16
