Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998-99,23,DET,NBA,C,2,0,6,1,1,1.000,0,0,0,1,1,1.000,1.000,2,2,1.000,0,1,1,0,0,0,0,0,4
1999-00,24,DET,NBA,C,29,0,488,87,140,.621,0,0,0,87,140,.621,.621,54,68,.794,44,68,112,17,9,31,23,104,228
2000-01,25,DET,NBA,C,81,2,1154,132,268,.493,0,1,.000,132,267,.494,.493,95,130,.731,121,195,316,33,24,61,74,202,359
2001-02,26,DET,NBA,C,30,0,217,29,61,.475,1,2,.500,28,59,.475,.484,20,26,.769,22,31,53,11,7,9,14,35,79
2002-03,27,TOT,NBA,C,8,0,43,5,13,.385,0,0,0,5,13,.385,.385,8,10,.800,6,2,8,3,0,4,2,7,18
2002-03,27,BOS,NBA,C,3,0,12,0,1,.000,0,0,0,0,1,.000,.000,0,0,0,1,0,1,0,0,2,0,6,0
2002-03,27,ATL,NBA,C,5,0,31,5,12,.417,0,0,0,5,12,.417,.417,8,10,.800,5,2,7,3,0,2,2,1,18
2003-04,28,TOT,NBA,PF-C,32,0,395,50,99,.505,0,0,0,50,99,.505,.505,30,35,.857,29,55,84,19,7,13,22,65,130
2003-04,28,NJN,NBA,C,4,0,10,1,5,.200,0,0,0,1,5,.200,.200,0,0,0,1,1,2,0,0,0,0,1,2
2003-04,28,UTA,NBA,PF,28,0,385,49,94,.521,0,0,0,49,94,.521,.521,30,35,.857,28,54,82,19,7,13,22,64,128
2004-05,29,LAC,NBA,PF,74,4,1178,144,287,.502,1,5,.200,143,282,.507,.503,107,136,.787,97,149,246,47,19,32,63,173,396
2005-06,30,SEA,NBA,C,47,1,583,54,124,.435,0,2,.000,54,122,.443,.435,46,62,.742,44,86,130,27,7,15,40,92,154
2006-07,31,NJN,NBA,C,79,55,2082,308,506,.609,0,1,.000,308,505,.610,.609,160,235,.681,145,258,403,74,46,60,113,261,776
2007-08,32,SAC,NBA,PF,82,79,2385,282,489,.577,0,2,.000,282,487,.579,.577,134,182,.736,160,334,494,84,35,46,110,310,698
2008-09,33,TOT,NBA,PF-C,70,20,1202,114,206,.553,0,0,0,114,206,.553,.553,48,61,.787,76,182,258,53,17,19,48,208,276
2008-09,33,SAC,NBA,PF,46,20,746,63,121,.521,0,0,0,63,121,.521,.521,34,42,.810,45,107,152,28,13,14,27,112,160
2008-09,33,BOS,NBA,C,24,0,456,51,85,.600,0,0,0,51,85,.600,.600,14,19,.737,31,75,106,25,4,5,21,96,116
2009-10,34,GSW,NBA,C,23,20,406,54,90,.600,0,0,0,54,90,.600,.600,7,11,.636,26,43,69,36,5,13,21,60,115
2010-11,35,Did Not Play
2011-12,36,GSW,NBA,C,7,0,118,9,20,.450,0,0,0,9,20,.450,.450,6,7,.857,7,15,22,5,3,3,7,24,24
