Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988-89,22,DAL,NBA,PG,51,1,408,46,114,.404,6,24,.250,40,90,.444,.430,13,16,.813,13,34,47,76,25,6,34,61,111
1989-90,23,ORL,NBA,PG,40,2,638,92,208,.442,17,46,.370,75,162,.463,.483,28,38,.737,13,39,52,114,45,3,63,65,229
1990-91,24,ORL,NBA,PG,34,0,350,45,108,.417,6,12,.500,39,96,.406,.444,17,25,.680,4,13,17,73,24,0,34,37,113
1991-92,25,TOT,NBA,PG,53,19,870,83,193,.430,14,42,.333,69,151,.457,.466,24,35,.686,24,57,81,180,47,3,60,89,204
1991-92,25,ORL,NBA,PG,9,0,90,9,28,.321,0,4,.000,9,24,.375,.321,3,5,.600,2,5,7,13,4,0,8,13,21
1991-92,25,SAS,NBA,PG,3,0,13,3,5,.600,0,0,0,3,5,.600,.600,0,0,0,0,1,1,1,0,0,0,3,6
1991-92,25,ATL,NBA,PG,41,19,767,71,160,.444,14,38,.368,57,122,.467,.488,21,30,.700,22,51,73,166,43,3,52,73,177
1992-93,26,TOT,NBA,PG,58,15,995,96,254,.378,54,154,.351,42,100,.420,.484,17,26,.654,29,62,91,181,65,3,80,127,263
1992-93,26,ATL,NBA,PG,25,2,354,26,81,.321,15,51,.294,11,30,.367,.414,5,8,.625,9,26,35,81,26,2,29,49,72
1992-93,26,DAL,NBA,PG,33,13,641,70,173,.405,39,103,.379,31,70,.443,.517,12,18,.667,20,36,56,100,39,1,51,78,191
1993-94,27,TOT,NBA,PG,16,0,158,9,29,.310,3,10,.300,6,19,.316,.362,0,0,0,0,10,10,23,15,0,17,21,21
1993-94,27,MIA,NBA,PG,4,0,34,3,8,.375,1,4,.250,2,4,.500,.438,0,0,0,0,4,4,7,2,0,6,4,7
1993-94,27,DAL,NBA,PG,12,0,124,6,21,.286,2,6,.333,4,15,.267,.333,0,0,0,0,6,6,16,13,0,11,17,14
1994-95,28,TOT,NBA,PG,43,2,424,50,117,.427,30,79,.380,20,38,.526,.556,7,10,.700,6,37,43,75,22,2,23,44,137
1994-95,28,DAL,NBA,PG,38,2,407,47,111,.423,29,75,.387,18,36,.500,.554,7,10,.700,6,33,39,69,21,1,19,44,130
1994-95,28,ATL,NBA,PG,5,0,17,3,6,.500,1,4,.250,2,2,1.000,.583,0,0,0,0,4,4,6,1,1,4,0,7
