Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1948-49,23,CHS,BAA,SF,57,0,0,200,631,.317,0,0,0,200,631,.317,.317,131,197,.665,0,0,0,97,0,0,0,200,531
1949-50,24,CHS,NBA,SF,68,0,0,277,775,.357,0,0,0,277,775,.357,.357,158,230,.687,0,0,0,159,0,0,0,250,712
1950-51,25,Did Not Play(other pro leagueNPBL)
1951-52,26,ROC,NBA,SF,66,0,1673,225,570,.395,0,0,0,225,570,.395,.395,116,152,.763,0,0,303,163,0,0,0,225,566
1952-53,27,ROC,NBA,SF,62,0,1414,198,494,.401,0,0,0,198,494,.401,.401,199,243,.819,0,0,251,113,0,0,0,227,595
1953-54,28,ROC,NBA,SF,72,0,1633,184,505,.364,0,0,0,184,505,.364,.364,183,238,.769,0,0,310,109,0,0,0,211,551
1954-55,29,ROC,NBA,SF,71,0,1888,226,585,.386,0,0,0,226,585,.386,.386,220,271,.812,0,0,299,148,0,0,0,252,672
1955-56,30,FTW,NBA,SF,72,0,1378,166,468,.355,0,0,0,166,468,.355,.355,159,201,.791,0,0,231,121,0,0,0,191,491
1956-57,31,TOT,NBA,0,11,0,118,12,38,.316,0,0,0,12,38,.316,.316,19,22,.864,0,0,15,7,0,0,0,24,43
1956-57,31,FTW,NBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956-57,31,STL,NBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
