Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998-99,22,PHO,NBA,PF,39,9,538,85,170,.500,7,18,.389,78,152,.513,.521,40,56,.714,26,49,75,18,8,3,20,62,217
1999-00,23,ORL,NBA,SF,82,1,1479,258,585,.441,79,197,.401,179,388,.461,.509,80,111,.721,44,166,210,58,31,19,85,197,675
2000-01,24,ORL,NBA,SF,76,1,1579,223,576,.387,97,224,.433,126,352,.358,.471,85,98,.867,51,159,210,51,40,15,68,241,628
2001-02,25,ORL,NBA,PF,80,43,2406,327,767,.426,169,396,.427,158,371,.426,.537,61,73,.836,77,261,338,99,61,28,68,230,884
2002-03,26,ORL,NBA,PF,81,53,2584,312,744,.419,161,407,.396,151,337,.448,.528,83,100,.830,72,234,306,121,62,20,77,255,868
2003-04,27,ORL,NBA,PF,2,0,22,1,3,.333,0,0,0,1,3,.333,.333,0,0,0,0,0,0,1,0,0,0,2,2
2004-05,28,ORL,NBA,PF,71,0,955,123,306,.402,49,147,.333,74,159,.465,.482,29,33,.879,21,103,124,30,19,9,30,107,324
2005-06,29,ORL,NBA,PF,57,0,938,101,242,.417,50,129,.388,51,113,.451,.521,30,37,.811,31,77,108,38,12,9,38,108,282
2006-07,30,ORL,NBA,PF,33,0,277,22,70,.314,11,32,.344,11,38,.289,.393,16,18,.889,12,30,42,14,7,0,14,37,71
2007-08,31,ORL,NBA,PF,31,0,284,27,80,.338,8,37,.216,19,43,.442,.388,4,5,.800,9,35,44,13,6,1,17,35,66
