Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,22,SDR,NBA,SG,80,0,1263,250,660,.379,0,0,0,250,660,.379,.379,128,202,.634,0,0,177,138,0,0,0,205,628
1968-69,23,SDR,NBA,SG,56,0,1027,202,498,.406,0,0,0,202,498,.406,.406,90,134,.672,0,0,112,136,0,0,0,146,494
1969-70,24,SDR,NBA,SF,36,0,474,75,180,.417,0,0,0,75,180,.417,.417,40,55,.727,0,0,57,85,0,0,0,68,190
1970-71,25,LAL,NBA,SG,54,0,506,105,254,.413,0,0,0,105,254,.413,.413,56,87,.644,0,0,54,72,0,0,0,84,266
1971-72,26,LAL,NBA,SG,67,0,926,197,441,.447,0,0,0,197,441,.447,.447,55,74,.743,0,0,127,75,0,0,0,110,449
1972-73,27,LAL,NBA,SG,55,0,801,167,390,.428,0,0,0,167,390,.428,.428,65,82,.793,0,0,65,81,0,0,0,126,399
1973-74,28,LAL,NBA,SG,72,0,1361,287,667,.430,0,0,0,287,667,.430,.430,110,144,.764,38,90,128,148,54,3,0,173,684
1974-75,29,LAL,NBA,SF,46,0,1016,219,523,.419,0,0,0,219,523,.419,.419,69,93,.742,25,60,85,121,36,4,0,128,507
1975-76,30,TOT,NBA,SG,62,0,813,117,301,.389,0,0,0,117,301,.389,.389,55,77,.714,16,34,50,57,22,6,0,112,289
1975-76,30,LAL,NBA,SG,2,0,23,5,13,.385,0,0,0,5,13,.385,.385,1,3,.333,1,2,3,0,1,1,0,5,11
1975-76,30,PHO,NBA,SG,60,0,790,112,288,.389,0,0,0,112,288,.389,.389,54,74,.730,15,32,47,57,21,5,0,107,278
