Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1947-48,22,BLB,BAA,0,37,0,0,142,408,.348,0,0,0,142,408,.348,.348,104,157,.662,0,0,0,23,0,0,0,123,388
1948-49,23,Did Not Play(illnessheart condition)
1949-50,24,BLB,NBA,0,60,0,0,312,914,.341,0,0,0,312,914,.341,.341,242,364,.665,0,0,0,161,0,0,0,234,866
1950-51,25,BLB,NBA,0,41,0,0,127,399,.318,0,0,0,127,399,.318,.318,105,156,.673,0,0,202,111,0,0,0,135,359
1951-52,26,Did Not Play(illnessheart condition)
1952-53,27,BLB,NBA,SG,69,0,1955,240,656,.366,0,0,0,240,656,.366,.366,224,342,.655,0,0,317,237,0,0,0,282,704
1953-54,28,BLB,NBA,PG,72,0,2505,253,761,.332,0,0,0,253,761,.332,.332,217,303,.716,0,0,486,285,0,0,0,271,723
1954-55,29,TOT,NBA,0,38,0,670,65,216,.301,0,0,0,65,216,.301,.301,64,93,.688,0,0,124,94,0,0,0,93,194
1954-55,29,BLB,NBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954-55,29,NYK,NBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954-55,29,PHW,NBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
