Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,23,ATL,NBA,SG,81,0,2926,738,1613,.458,0,0,0,738,1613,.458,.458,404,505,.800,0,0,298,355,0,0,0,238,1880
1971-72,24,ATL,NBA,SG,66,0,2302,460,1077,.427,0,0,0,460,1077,.427,.427,355,438,.811,0,0,256,393,0,0,0,207,1275
1972-73,25,ATL,NBA,SG,79,0,3089,789,1788,.441,0,0,0,789,1788,.441,.441,485,606,.800,0,0,346,546,0,0,0,245,2063
1973-74,26,ATL,NBA,SG,76,0,2903,819,1791,.457,0,0,0,819,1791,.457,.457,469,568,.826,98,276,374,396,111,13,0,261,2107
1974-75,27,NOJ,NBA,SG,79,0,2853,655,1562,.419,0,0,0,655,1562,.419,.419,390,481,.811,93,329,422,488,120,18,0,227,1700
1975-76,28,NOJ,NBA,SG,62,0,2373,604,1316,.459,0,0,0,604,1316,.459,.459,396,488,.811,46,254,300,332,87,23,0,197,1604
1976-77,29,NOJ,NBA,SG,73,0,3041,886,2047,.433,0,0,0,886,2047,.433,.433,501,600,.835,90,284,374,392,84,22,0,191,2273
1977-78,30,NOJ,NBA,SG,50,0,2041,556,1253,.444,0,0,0,556,1253,.444,.444,240,276,.870,49,129,178,335,101,8,248,116,1352
1978-79,31,NOJ,NBA,SG,49,0,1824,436,1035,.421,0,0,0,436,1035,.421,.421,233,277,.841,33,88,121,243,60,18,200,104,1105
1979-80,32,TOT,NBA,SG,43,4,964,244,543,.449,10,15,.667,234,528,.443,.459,91,105,.867,17,61,78,83,24,6,82,79,589
1979-80,32,UTA,NBA,SG,17,0,522,121,294,.412,7,11,.636,114,283,.403,.423,41,50,.820,7,33,40,54,15,4,45,30,290
1979-80,32,BOS,NBA,SG,26,4,442,123,249,.494,3,4,.750,120,245,.490,.500,50,55,.909,10,28,38,29,9,2,37,49,299
