Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1974-75,22,GSW,NBA,SG,74,0,1055,221,464,.476,0,0,0,221,464,.476,.476,127,158,.804,51,89,140,135,62,0,0,141,569
1975-76,23,GSW,NBA,SG,82,0,2793,659,1383,.477,0,0,0,659,1383,.477,.477,323,410,.788,133,243,376,362,108,18,0,223,1641
1976-77,24,GSW,NBA,SG,82,0,2880,631,1318,.479,0,0,0,631,1318,.479,.479,295,376,.785,101,231,332,328,98,29,0,227,1557
1977-78,25,GSW,NBA,SG,82,0,2940,648,1373,.472,0,0,0,648,1373,.472,.472,316,389,.812,100,200,300,393,108,27,266,219,1612
1978-79,26,GSW,NBA,SG,59,0,2288,489,977,.501,0,0,0,489,977,.501,.501,194,255,.761,48,164,212,261,101,23,170,159,1172
1979-80,27,GSW,NBA,SG,51,0,1552,325,685,.474,7,22,.318,318,663,.480,.480,135,171,.789,28,118,146,187,62,15,121,154,792
1980-81,28,SDC,NBA,SG,76,0,2378,519,1057,.491,4,18,.222,515,1039,.496,.493,237,313,.757,49,107,156,372,84,18,176,231,1279
1981-82,29,TOT,NBA,SG,74,41,2042,340,761,.447,5,27,.185,335,734,.456,.450,163,223,.731,51,135,186,307,67,27,155,213,848
1981-82,29,SDC,NBA,SG,48,39,1446,253,575,.440,5,24,.208,248,551,.450,.444,123,168,.732,34,83,117,233,45,19,116,151,634
1981-82,29,SEA,NBA,SG,26,2,596,87,186,.468,0,3,.000,87,183,.475,.468,40,55,.727,17,52,69,74,22,8,39,62,214
1982-83,30,SEA,NBA,SG,79,17,1238,175,400,.438,3,8,.375,172,392,.439,.441,101,133,.759,27,103,130,216,44,8,102,113,454
