Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,23,MIL,NBA,PG,27,0,361,27,95,.284,3,14,.214,24,81,.296,.300,3,4,.750,5,18,23,70,12,0,29,29,60
2000-01,24,MIL,NBA,PG,37,2,288,30,84,.357,8,30,.267,22,54,.407,.405,9,13,.692,4,27,31,68,13,0,20,27,77
2001-02,25,MIL,NBA,PG,50,7,600,66,191,.346,27,71,.380,39,120,.325,.416,18,29,.621,10,62,72,143,32,2,40,42,177
2002-03,26,TOR,NBA,PG,47,4,980,139,335,.415,51,130,.392,88,205,.429,.491,37,54,.685,21,86,107,192,38,15,86,120,366
2003-04,27,MIA,NBA,PG,82,28,2581,287,764,.376,161,434,.371,126,330,.382,.481,103,134,.769,26,200,226,372,114,18,128,212,838
2004-05,28,TOR,NBA,PG,80,78,2717,403,974,.414,139,389,.357,264,585,.451,.485,191,258,.740,42,237,279,514,118,7,170,212,1136
2005-06,29,HOU,NBA,PG,63,63,2431,280,738,.379,102,312,.327,178,426,.418,.449,99,143,.692,36,219,255,425,101,15,157,194,761
2006-07,30,HOU,NBA,PG,82,82,3040,383,1020,.375,192,529,.363,191,491,.389,.470,130,177,.734,29,253,282,444,129,10,170,195,1088
2007-08,31,HOU,NBA,PG,74,74,2526,364,924,.394,143,407,.351,221,517,.427,.471,98,137,.715,28,232,260,392,98,18,160,139,969
2008-09,32,TOT,NBA,PG,77,76,2447,316,820,.385,112,331,.338,204,489,.417,.454,156,208,.750,33,194,227,406,108,10,140,135,900
2008-09,32,HOU,NBA,PG,48,48,1591,193,522,.370,80,230,.348,113,292,.387,.446,86,109,.789,25,119,144,258,57,7,88,72,552
2008-09,32,ORL,NBA,PG,29,28,856,123,298,.413,32,101,.317,91,197,.462,.466,70,99,.707,8,75,83,148,51,3,52,63,348
2009-10,33,TOT,NBA,PG,52,38,1421,155,446,.348,58,168,.345,97,278,.349,.413,59,81,.728,13,116,129,176,50,10,95,103,427
2009-10,33,NJN,NBA,PG,27,13,766,95,277,.343,28,87,.322,67,190,.353,.394,44,54,.815,9,66,75,104,27,5,61,50,262
2009-10,33,MIA,NBA,PG,25,25,655,60,169,.355,30,81,.370,30,88,.341,.444,15,27,.556,4,50,54,72,23,5,34,53,165
