Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1981-82,23,TOT,NBA,PF,64,0,607,100,202,.495,0,2,.000,100,200,.500,.495,19,35,.543,50,76,126,33,12,16,45,83,219
1981-82,23,NJN,NBA,PF,12,0,115,20,44,.455,0,1,.000,20,43,.465,.455,4,8,.500,11,16,27,8,4,2,12,19,44
1981-82,23,SEA,NBA,PF,52,0,492,80,158,.506,0,1,.000,80,157,.510,.506,15,27,.556,39,60,99,25,8,14,33,64,175
1982-83,24,TOT,NBA,PF,73,2,1107,157,314,.500,0,3,.000,157,311,.505,.500,52,103,.505,72,170,242,50,26,47,83,153,366
1982-83,24,SEA,NBA,PF,45,2,712,100,190,.526,0,2,.000,100,188,.532,.526,24,44,.545,46,105,151,31,16,24,51,97,224
1982-83,24,DET,NBA,PF,28,0,395,57,124,.460,0,1,.000,57,123,.463,.460,28,59,.475,26,65,91,19,10,23,32,56,142
1983-84,25,DET,NBA,PF,49,0,475,64,121,.529,0,1,.000,64,120,.533,.529,23,45,.511,45,53,98,26,12,20,26,88,151
1984-85,26,Did Not Play(other pro leagueItaly)
1985-86,27,Did Not Play(other pro leagueCBA)
1986-87,28,Did Not Play(other pro leagueCBA)
1987-88,29,TOT,NBA,PF,25,0,259,35,69,.507,0,0,0,35,69,.507,.507,19,30,.633,23,32,55,10,8,5,21,39,89
1987-88,29,NYK,NBA,PF,11,0,177,19,41,.463,0,0,0,19,41,.463,.463,9,17,.529,14,21,35,5,5,2,10,25,47
1987-88,29,LAL,NBA,PF,14,0,82,16,28,.571,0,0,0,16,28,.571,.571,10,13,.769,9,11,20,5,3,3,11,14,42
1988-89,30,ATL,NBA,PF,50,0,341,40,94,.426,0,0,0,40,94,.426,.426,23,37,.622,31,57,88,16,13,13,35,55,103
