Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991-92,22,BOS,NBA,SF,81,5,1535,241,525,.459,23,70,.329,218,455,.479,.481,139,184,.755,73,147,220,126,78,30,123,230,644
1992-93,23,BOS,NBA,SF,71,14,1082,184,380,.484,4,23,.174,180,357,.504,.489,81,101,.802,55,104,159,113,61,21,77,133,453
1993-94,24,BOS,NBA,SF,82,53,2096,340,728,.467,33,100,.330,307,628,.489,.490,174,230,.757,105,250,355,217,81,52,158,244,887
1994-95,25,BOS,NBA,SF,53,7,1039,169,351,.481,31,75,.413,138,276,.500,.526,95,123,.772,61,94,155,139,52,19,78,154,464
1995-96,26,BOS,NBA,SF,81,81,2588,421,928,.454,99,272,.364,322,656,.491,.507,196,254,.772,158,292,450,369,113,41,216,290,1137
1996-97,27,BOS,NBA,SF,76,75,2650,433,950,.456,101,278,.363,332,672,.494,.509,207,263,.787,114,280,394,286,167,40,178,279,1174
1997-98,28,LAL,NBA,SF,82,82,2709,363,771,.471,86,265,.325,277,506,.547,.527,171,230,.743,78,280,358,276,100,48,201,309,983
1998-99,29,LAL,NBA,SF,44,1,944,148,330,.448,32,95,.337,116,235,.494,.497,66,89,.742,26,63,89,89,28,10,56,114,394
1999-00,30,LAL,NBA,SF,82,1,1473,206,498,.414,59,181,.326,147,317,.464,.473,63,78,.808,63,135,198,138,52,26,87,203,534
2000-01,31,LAL,NBA,SF,82,77,2291,287,646,.444,118,300,.393,169,346,.488,.536,95,122,.779,80,245,325,262,70,29,136,225,787
2001-02,32,LAL,NBA,SF,82,82,2289,255,605,.421,65,208,.313,190,397,.479,.475,70,85,.824,90,299,389,283,67,21,132,244,645
2002-03,33,LAL,NBA,SF,76,75,2181,262,621,.422,105,280,.375,157,341,.460,.506,52,69,.754,64,259,323,253,69,14,121,215,681
2003-04,34,LAL,NBA,SF,38,34,846,73,186,.392,15,61,.246,58,125,.464,.433,22,30,.733,29,73,102,98,29,4,48,99,183
