Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991-92,22,POR,NBA,PG,72,0,894,115,272,.423,0,10,.000,115,262,.439,.423,102,127,.803,32,65,97,140,40,4,92,101,332
1992-93,23,DEN,NBA,PG,77,1,1579,285,606,.470,1,8,.125,284,598,.475,.471,239,311,.768,52,108,160,335,81,10,185,182,810
1993-94,24,DEN,NBA,PG,66,4,1382,223,503,.443,6,29,.207,217,474,.458,.449,179,236,.758,25,98,123,356,81,9,204,147,631
1994-95,25,DEN,NBA,PG,42,32,1144,170,395,.430,30,72,.417,140,323,.433,.468,137,175,.783,19,94,113,290,61,6,134,101,507
1995-96,26,WSB,NBA,PG,31,31,1084,190,444,.428,26,98,.265,164,346,.474,.457,154,182,.846,29,103,132,242,62,1,114,68,560
1996-97,27,TOT,NBA,PG,54,42,1782,272,693,.392,31,112,.277,241,581,.415,.415,196,243,.807,28,118,146,452,94,6,217,139,771
1996-97,27,NJN,NBA,PG,34,31,1185,193,474,.407,22,74,.297,171,400,.428,.430,134,170,.788,15,71,86,325,59,3,150,83,542
1996-97,27,DAL,NBA,PG,20,11,597,79,219,.361,9,38,.237,70,181,.387,.381,62,73,.849,13,47,60,127,35,3,67,56,229
1997-98,28,DAL,NBA,PG,12,10,292,33,98,.337,3,6,.500,30,92,.326,.352,25,36,.694,8,26,34,42,20,1,38,17,94
1998-99,29,DAL,NBA,PG,25,0,468,75,174,.431,0,4,.000,75,170,.441,.431,72,88,.818,9,27,36,81,20,1,49,41,222
1999-00,30,DAL,NBA,PG,29,22,665,96,230,.417,4,11,.364,92,219,.420,.426,63,78,.808,7,35,42,168,31,3,76,44,259
2000-01,31,DEN,NBA,PG,74,11,1260,181,426,.425,12,31,.387,169,395,.428,.439,105,137,.766,30,107,137,293,65,1,135,114,479
2001-02,32,MIN,NBA,PG,16,0,252,25,68,.368,1,4,.250,24,64,.375,.375,11,15,.733,7,16,23,49,13,0,20,32,62
2002-03,33,NOH,NBA,PG,28,4,440,52,129,.403,0,5,.000,52,124,.419,.403,41,55,.745,11,40,51,81,25,0,40,35,145
2003-04,34,NJN,NBA,PG,26,0,220,22,52,.423,0,0,0,22,52,.423,.423,5,6,.833,4,14,18,27,12,1,16,20,49
