Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1963-64,22,BAL,NBA,SG,75,0,2594,411,1015,.405,0,0,0,411,1015,.405,.405,258,353,.731,0,0,360,281,0,0,0,187,1080
1964-65,23,DET,NBA,SG,74,0,1770,320,750,.427,0,0,0,320,750,.427,.427,176,243,.724,0,0,266,161,0,0,0,122,816
1965-66,24,TOT,NBA,SG,73,0,1739,306,728,.420,0,0,0,306,728,.420,.420,168,236,.712,0,0,210,145,0,0,0,144,780
1965-66,24,DET,NBA,SG,27,0,815,143,343,.417,0,0,0,143,343,.417,.417,90,123,.732,0,0,101,64,0,0,0,67,376
1965-66,24,STL,NBA,SG,46,0,924,163,385,.423,0,0,0,163,385,.423,.423,78,113,.690,0,0,109,81,0,0,0,77,404
1966-67,25,STL,NBA,PG,67,0,1166,233,524,.445,0,0,0,233,524,.445,.445,125,172,.727,0,0,160,118,0,0,0,88,591
1967-68,26,SEA,NBA,SG,66,0,1668,377,835,.451,0,0,0,377,835,.451,.451,252,342,.737,0,0,265,230,0,0,0,117,1006
1968-69,27,SEA,NBA,SG,29,0,567,131,283,.463,0,0,0,131,283,.463,.463,71,97,.732,0,0,83,80,0,0,0,58,333
1969-70,28,SEA,NBA,SG,19,0,105,20,45,.444,0,0,0,20,45,.444,.444,15,24,.625,0,0,16,17,0,0,0,8,55
1970-71,29,SEA,NBA,SG,63,0,767,141,299,.472,0,0,0,141,299,.472,.472,69,102,.676,0,0,103,182,0,0,0,60,351
