Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988-89,24,BOS,NBA,PF,72,0,528,59,142,.415,0,10,.000,59,132,.447,.415,59,80,.738,47,45,92,42,18,3,36,71,177
1989-90,25,Did Not Play
1990-91,26,Did Not Play(other pro teamAthletes in Action)
1991-92,27,CHH,NBA,PF,3,0,25,2,4,.500,0,0,0,2,4,.500,.500,6,10,.600,3,8,11,1,1,1,3,4,10
1992-93,28,"Did Not Play(other pro leagueCBA, Italy)"
1993-94,29,Did Not Play(other pro leagueCBA)
1994-95,30,NYK,NBA,PF,2,0,8,1,4,.250,0,0,0,1,4,.250,.250,0,0,0,3,2,5,2,0,0,0,2,2
1995-96,31,TOT,NBA,PF,28,3,311,22,58,.379,4,14,.286,18,44,.409,.414,17,25,.680,20,35,55,13,12,2,12,31,65
1995-96,31,MIA,NBA,PF,18,3,235,13,39,.333,4,13,.308,9,26,.346,.385,13,19,.684,14,22,36,10,8,1,11,27,43
1995-96,31,ATL,NBA,PF,4,0,19,2,4,.500,0,1,.000,2,3,.667,.500,0,0,0,1,5,6,1,0,0,0,0,4
1995-96,31,NYK,NBA,PF,6,0,57,7,15,.467,0,0,0,7,15,.467,.467,4,6,.667,5,8,13,2,4,1,1,4,18
