Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984-85,23,POR,NBA,C,76,62,2216,299,557,.537,0,0,0,299,557,.537,.537,160,225,.711,207,449,656,215,55,203,172,278,758
1985-86,24,POR,NBA,C,38,34,1132,167,345,.484,0,0,0,167,345,.484,.484,114,161,.708,93,234,327,99,21,96,88,142,448
1986-87,25,POR,NBA,C,5,5,163,30,66,.455,0,0,0,30,66,.455,.455,20,30,.667,14,19,33,9,1,10,15,19,80
1987-88,26,Did Not Play(injuryleg)
1988-89,27,POR,NBA,C,20,0,412,69,153,.451,5,7,.714,64,146,.438,.467,28,49,.571,36,70,106,36,7,33,33,43,171
1989-90,28,NJN,NBA,C,68,54,2207,347,834,.416,10,31,.323,337,803,.420,.422,294,379,.776,206,484,690,91,38,121,125,211,998
1990-91,29,NJN,NBA,C,62,51,1916,314,723,.434,4,22,.182,310,701,.442,.437,169,231,.732,176,304,480,147,43,90,141,175,801
1991-92,30,NJN,NBA,C,71,61,2179,421,947,.445,8,25,.320,413,922,.448,.449,212,280,.757,203,375,578,186,41,120,150,212,1062
1992-93,31,NJN,NBA,C,79,65,2092,287,638,.450,2,6,.333,285,632,.451,.451,141,181,.779,158,398,556,127,32,128,120,226,717
1993-94,32,LAL,NBA,C,25,7,556,75,172,.436,1,4,.250,74,168,.440,.439,72,83,.867,27,104,131,47,4,28,43,65,223
1994-95,33,LAL,NBA,C,67,10,1225,118,267,.442,2,11,.182,116,256,.453,.446,68,89,.764,72,216,288,118,21,80,91,182,306
