Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1957-58,24,BOS,NBA,SG,56,0,594,100,233,.429,0,0,0,100,233,.429,.429,60,84,.714,0,0,160,37,0,0,0,42,260
1958-59,25,BOS,NBA,SF,71,0,1466,305,703,.434,0,0,0,305,703,.434,.434,151,196,.770,0,0,428,101,0,0,0,102,761
1959-60,26,BOS,NBA,SF,74,0,1512,355,782,.454,0,0,0,355,782,.454,.454,168,220,.764,0,0,375,125,0,0,0,101,878
1960-61,27,BOS,NBA,SG,78,0,2028,480,1069,.449,0,0,0,480,1069,.449,.449,211,268,.787,0,0,421,217,0,0,0,148,1171
1961-62,28,BOS,NBA,SG,78,0,2388,596,1284,.464,0,0,0,596,1284,.464,.464,243,297,.818,0,0,458,232,0,0,0,149,1435
1962-63,29,BOS,NBA,SG,76,0,2323,621,1305,.476,0,0,0,621,1305,.476,.476,257,324,.793,0,0,396,241,0,0,0,162,1499
1963-64,30,BOS,NBA,SG,76,0,2381,612,1359,.450,0,0,0,612,1359,.450,.450,249,318,.783,0,0,349,202,0,0,0,192,1473
1964-65,31,BOS,NBA,SG,80,0,2885,821,1818,.452,0,0,0,821,1818,.452,.452,428,522,.820,0,0,411,223,0,0,0,176,2070
1965-66,32,BOS,NBA,SG,67,0,2155,626,1335,.469,0,0,0,626,1335,.469,.469,325,407,.799,0,0,347,216,0,0,0,170,1577
1966-67,33,BOS,NBA,SG,72,0,2325,638,1406,.454,0,0,0,638,1406,.454,.454,318,371,.857,0,0,338,217,0,0,0,191,1594
1967-68,34,BOS,NBA,PG,73,0,2408,621,1348,.461,0,0,0,621,1348,.461,.461,311,376,.827,0,0,357,216,0,0,0,181,1553
1968-69,35,BOS,NBA,SG,70,0,1820,496,1103,.450,0,0,0,496,1103,.450,.450,148,189,.783,0,0,265,182,0,0,0,121,1140
