Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,23,UTA,NBA,PF,47,9,432,44,140,.314,13,44,.295,31,96,.323,.361,19,27,.704,24,64,88,25,14,8,22,55,120
2000-01,24,UTA,NBA,PF,27,0,127,18,43,.419,5,9,.556,13,34,.382,.477,15,20,.750,19,20,39,5,6,3,10,21,56
2001-02,25,UTA,NBA,PF,75,1,1295,188,395,.476,49,113,.434,139,282,.493,.538,75,102,.735,111,174,285,82,43,13,69,140,500
2002-03,26,UTA,NBA,PF,82,2,1321,170,423,.402,45,133,.338,125,290,.431,.455,81,107,.757,83,189,272,86,41,24,70,148,466
2003-04,27,HOU,NBA,PF,58,5,547,74,167,.443,28,65,.431,46,102,.451,.527,24,32,.750,46,93,139,23,12,13,22,73,200
2004-05,28,HOU,NBA,PF,66,0,942,98,233,.421,50,126,.397,48,107,.449,.528,29,40,.725,47,138,185,55,33,10,30,119,275
2005-06,29,NJN,NBA,PF,62,1,718,71,201,.353,42,121,.347,29,80,.363,.458,27,34,.794,56,109,165,41,28,12,21,90,211
2006-07,30,TOT,NBA,PF,31,0,231,16,56,.286,8,33,.242,8,23,.348,.357,6,13,.462,16,38,54,8,5,3,9,35,46
2006-07,30,HOU,NBA,PF,24,0,198,15,49,.306,8,29,.276,7,20,.350,.388,6,11,.545,11,34,45,8,4,3,8,33,44
2006-07,30,MEM,NBA,PF,7,0,33,1,7,.143,0,4,.000,1,3,.333,.143,0,2,.000,5,4,9,0,1,0,1,2,2
