Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998-99,23,ATL,NBA,PG,2,0,4,0,1,.000,0,0,0,0,1,.000,.000,3,4,.750,0,0,0,1,0,0,0,0,3
1999-00,24,SEA,NBA,PG,43,5,517,84,225,.373,24,81,.296,60,144,.417,.427,33,51,.647,12,40,52,78,18,0,40,39,225
2000-01,25,SEA,NBA,PG,69,6,1238,161,368,.438,61,133,.459,100,235,.426,.520,84,96,.875,34,98,132,190,31,4,82,83,467
2001-02,26,SEA,NBA,SG,50,2,603,81,193,.420,28,75,.373,53,118,.449,.492,31,39,.795,16,47,63,83,21,2,35,35,221
2002-03,27,TOT,NBA,PG,78,11,1881,228,579,.394,93,261,.356,135,318,.425,.474,78,102,.765,24,147,171,266,77,6,114,140,627
2002-03,27,BOS,NBA,PG,51,2,1169,134,338,.396,56,159,.352,78,179,.436,.479,48,57,.842,12,98,110,128,61,3,61,84,372
2002-03,27,DEN,NBA,PG,27,9,712,94,241,.390,37,102,.363,57,139,.410,.467,30,45,.667,12,49,61,138,16,3,53,56,255
2003-04,28,TOT,NBA,SG-PG,53,4,763,87,232,.375,30,100,.300,57,132,.432,.440,51,58,.879,9,51,60,116,37,2,47,62,255
2003-04,28,ORL,NBA,SG,37,2,525,59,151,.391,25,74,.338,34,77,.442,.474,40,45,.889,9,34,43,64,23,1,26,40,183
2003-04,28,NOH,NBA,PG,16,2,238,28,81,.346,5,26,.192,23,55,.418,.377,11,13,.846,0,17,17,52,14,1,21,22,72
2004-05,29,Did Not Play(other pro leagueRussia)
2005-06,30,Did Not Play(other pro leagueSpain)
2006-07,31,LAL,NBA,PG,30,0,345,35,86,.407,20,50,.400,15,36,.417,.523,4,6,.667,11,29,40,31,12,0,13,20,94
