Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,23,ATL,NBA,PF,81,31,1514,166,365,.455,2,4,.500,164,361,.454,.458,110,144,.764,131,304,435,44,52,39,96,199,444
2007-08,24,TOT,NBA,PF,64,0,776,92,212,.434,0,2,.000,92,210,.438,.434,71,105,.676,68,137,205,19,22,21,35,110,255
2007-08,24,ATL,NBA,PF,36,0,414,37,100,.370,0,1,.000,37,99,.374,.370,35,51,.686,34,73,107,11,13,11,14,60,109
2007-08,24,SAC,NBA,PF,28,0,362,55,112,.491,0,1,.000,55,111,.495,.491,36,54,.667,34,64,98,8,9,10,21,50,146
2008-09,25,TOT,NBA,PF,45,0,512,70,157,.446,0,2,.000,70,155,.452,.446,46,63,.730,49,104,153,12,22,18,34,64,186
2008-09,25,SAC,NBA,PF,30,0,305,40,89,.449,0,2,.000,40,87,.460,.449,32,42,.762,25,53,78,8,12,10,26,36,112
2008-09,25,MIN,NBA,PF,15,0,207,30,68,.441,0,0,0,30,68,.441,.441,14,21,.667,24,51,75,4,10,8,8,28,74
2009-10,26,BOS,NBA,PF,54,0,597,63,121,.521,0,1,.000,63,120,.525,.521,75,98,.765,47,99,146,21,13,21,30,85,201
2010-11,27,TOT,NBA,PF,59,38,911,103,220,.468,0,0,0,103,220,.468,.468,58,75,.773,93,180,273,32,23,26,43,126,264
2010-11,27,DEN,NBA,PF,42,32,713,82,181,.453,0,0,0,82,181,.453,.453,34,46,.739,74,149,223,19,18,22,37,92,198
2010-11,27,NYK,NBA,PF,17,6,198,21,39,.538,0,0,0,21,39,.538,.538,24,29,.828,19,31,50,13,5,4,6,34,66
2011-12,28,NJN,NBA,C,58,35,1276,96,201,.478,0,0,0,96,201,.478,.478,76,104,.731,141,209,350,35,47,39,66,149,268
