Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1949-50,24,MNL,NBA,PG,67,0,0,106,302,.351,0,0,0,106,302,.351,.351,59,93,.634,0,0,0,148,0,0,0,162,271
1950-51,25,MNL,NBA,PG,68,0,0,227,627,.362,0,0,0,227,627,.362,.362,121,177,.684,0,0,246,235,0,0,0,199,575
1951-52,26,MNL,NBA,PG,66,0,2480,237,632,.375,0,0,0,237,632,.375,.375,142,190,.747,0,0,228,249,0,0,0,226,616
1952-53,27,MNL,NBA,PG,70,0,2556,260,634,.410,0,0,0,260,634,.410,.410,224,287,.780,0,0,186,250,0,0,0,246,744
1953-54,28,MNL,NBA,PG,69,0,2472,254,654,.388,0,0,0,254,654,.388,.388,176,243,.724,0,0,166,253,0,0,0,198,684
1954-55,29,MNL,NBA,PG,72,0,2784,350,919,.381,0,0,0,350,919,.381,.381,276,359,.769,0,0,260,427,0,0,0,221,976
1955-56,30,MNL,NBA,PG,72,0,2838,309,863,.358,0,0,0,309,863,.358,.358,329,395,.833,0,0,260,445,0,0,0,202,947
1956-57,31,TOT,NBA,PG,66,0,2401,244,736,.332,0,0,0,244,736,.332,.332,230,291,.790,0,0,288,269,0,0,0,193,718
1956-57,31,NYK,NBA,PG,13,0,426,33,96,.344,0,0,0,33,96,.344,.344,44,53,.830,0,0,42,39,0,0,0,28,110
1956-57,31,STL,NBA,PG,53,0,1975,211,640,.330,0,0,0,211,640,.330,.330,186,238,.782,0,0,246,230,0,0,0,165,608
1957-58,32,STL,NBA,PG,60,0,2098,258,768,.336,0,0,0,258,768,.336,.336,206,276,.746,0,0,228,218,0,0,0,187,722
1958-59,33,STL,NBA,PG,71,0,2504,245,706,.347,0,0,0,245,706,.347,.347,197,254,.776,0,0,253,336,0,0,0,230,687
1959-60,34,STL,NBA,PG,64,0,1756,142,383,.371,0,0,0,142,383,.371,.371,113,155,.729,0,0,187,330,0,0,0,174,397
