Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,20,DNR,ABA,PF,84,0,3808,986,1998,.493,0,11,.000,986,1987,.496,.493,547,705,.776,533,1104,1637,190,0,0,253,221,2519
1970-71,21,SEA,NBA,PF,33,0,1162,260,579,.449,0,0,0,260,579,.449,.449,160,218,.734,0,0,396,48,0,0,0,84,680
1971-72,22,SEA,NBA,PF,73,0,3167,717,1557,.461,0,0,0,717,1557,.461,.461,480,586,.819,0,0,926,148,0,0,0,208,1914
1972-73,23,SEA,NBA,PF,77,0,3259,889,1868,.476,0,0,0,889,1868,.476,.476,473,564,.839,0,0,995,196,0,0,0,213,2251
1973-74,24,SEA,NBA,PF,75,0,3039,694,1520,.457,0,0,0,694,1520,.457,.457,373,458,.814,318,689,1007,240,65,106,0,198,1761
1974-75,25,SEA,NBA,PF,68,0,2529,608,1325,.459,0,0,0,608,1325,.459,.459,309,381,.811,198,432,630,137,54,108,0,173,1525
1975-76,26,NYK,NBA,PF,78,0,2892,605,1360,.445,0,0,0,605,1360,.445,.445,339,448,.757,234,644,878,92,53,80,0,255,1549
1976-77,27,NYK,NBA,PF,31,0,1021,202,449,.450,0,0,0,202,449,.450,.450,109,131,.832,77,203,280,50,14,29,0,72,513
1977-78,28,NYK,NBA,PF,67,0,1765,412,852,.484,0,0,0,412,852,.484,.484,96,135,.711,141,301,442,126,37,72,140,188,920
1978-79,29,TOT,NBA,PF,68,0,2361,595,1205,.494,0,0,0,595,1205,.494,.494,231,292,.791,172,361,533,127,40,82,200,236,1421
1978-79,29,NYK,NBA,PF,34,0,1023,249,509,.489,0,0,0,249,509,.489,.489,107,146,.733,66,140,206,56,10,29,87,108,605
1978-79,29,NOJ,NBA,PF,34,0,1338,346,696,.497,0,0,0,346,696,.497,.497,124,146,.849,106,221,327,71,30,53,113,128,816
1979-80,30,LAL,NBA,PF,76,0,1544,288,591,.487,1,4,.250,287,587,.489,.488,159,206,.772,132,214,346,93,35,57,134,197,736
1980-81,31,Did Not Play(other pro leagueItaly)
1981-82,32,WSB,NBA,PF,76,63,2086,395,829,.476,0,3,.000,395,826,.478,.476,219,260,.842,144,278,422,64,45,68,175,249,1009
1982-83,33,WSB,NBA,PF,38,25,775,125,312,.401,0,1,.000,125,311,.402,.401,63,87,.724,77,106,183,30,12,27,67,94,313
