Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,23,CHI,NBA,C,80,0,2365,318,831,.383,0,0,0,318,831,.383,.383,145,222,.653,0,0,889,178,0,0,0,317,781
1969-70,24,CHI,NBA,C,81,0,2335,348,775,.449,0,0,0,348,775,.449,.449,150,226,.664,0,0,1016,229,0,0,0,255,846
1970-71,25,CHI,NBA,C,82,0,2370,357,736,.485,0,0,0,357,736,.485,.485,168,232,.724,0,0,1133,397,0,0,0,275,882
1971-72,26,CHI,NBA,C,80,0,2022,219,500,.438,0,0,0,219,500,.438,.438,118,180,.656,0,0,897,281,0,0,0,253,556
1972-73,27,CHI,NBA,C,8,0,176,9,24,.375,0,0,0,9,24,.375,.375,12,20,.600,0,0,54,40,0,0,0,22,30
1973-74,28,CHI,NBA,C,46,0,602,58,119,.487,0,0,0,58,119,.487,.487,42,60,.700,53,160,213,94,16,18,0,80,158
1974-75,29,CHI,NBA,C,80,0,1175,132,271,.487,0,0,0,132,271,.487,.487,73,95,.768,105,275,380,272,25,45,0,163,337
1975-76,30,CHI,NBA,C,74,0,2045,265,530,.500,0,0,0,265,530,.500,.500,118,177,.667,263,529,792,283,47,52,0,263,648
1976-77,31,CHI,NBA,C,82,0,1070,134,273,.491,0,0,0,134,273,.491,.491,34,63,.540,101,211,312,189,19,19,0,147,302
1977-78,32,CHI,NBA,C,22,0,227,23,50,.460,0,0,0,23,50,.460,.460,10,13,.769,14,45,59,44,3,4,26,36,56
