Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,22,TOT,ABA,C,69,0,1118,197,402,.490,1,5,.200,196,397,.494,.491,109,175,.623,163,227,390,51,0,0,83,170,504
1971-72,22,MMP,ABA,C,38,0,617,98,209,.469,0,2,.000,98,207,.473,.469,54,88,.614,86,113,199,30,0,0,51,89,250
1971-72,22,CAR,ABA,C,31,0,501,99,193,.513,1,3,.333,98,190,.516,.516,55,87,.632,77,114,191,21,0,0,32,81,254
1972-73,23,CAR,ABA,C,83,0,2209,393,727,.541,0,2,.000,393,725,.542,.541,193,284,.680,229,417,646,94,0,0,173,318,979
1973-74,24,CAR,ABA,PF,81,0,2284,444,843,.527,2,6,.333,442,837,.528,.528,226,294,.769,301,416,717,127,54,41,171,308,1116
1974-75,25,TOT,ABA,C,82,0,2647,511,969,.527,0,2,.000,511,967,.528,.527,217,289,.751,296,609,905,208,36,82,153,261,1239
1974-75,25,SSL,ABA,C,5,0,89,14,26,.538,0,0,0,14,26,.538,.538,5,9,.556,11,15,26,7,2,3,6,9,33
1974-75,25,MMS,ABA,C,77,0,2558,497,943,.527,0,2,.000,497,941,.528,.527,212,280,.757,285,594,879,201,34,79,147,252,1206
1975-76,26,TOT,ABA,C,74,0,1107,178,369,.482,0,0,0,178,369,.482,.482,92,129,.713,115,202,317,69,11,41,74,200,448
1975-76,26,KEN,ABA,C,19,0,326,46,105,.438,0,0,0,46,105,.438,.438,26,44,.591,33,60,93,19,6,17,26,50,118
1975-76,26,INA,ABA,C,16,0,243,42,82,.512,0,0,0,42,82,.512,.512,20,25,.800,28,41,69,9,2,11,19,53,104
1975-76,26,SAA,ABA,C,39,0,538,90,182,.495,0,0,0,90,182,.495,.495,46,60,.767,54,101,155,41,3,13,29,97,226
1976-77,27,HOU,NBA,C,46,0,462,68,135,.504,0,0,0,68,135,.504,.504,52,76,.684,47,95,142,18,4,13,0,96,188
1977-78,28,POR,NBA,C,82,0,1714,313,639,.490,0,0,0,313,639,.490,.490,206,278,.741,195,346,541,160,33,37,152,263,832
1978-79,29,POR,NBA,C,82,0,2791,600,1095,.548,0,0,0,600,1095,.548,.548,320,403,.794,263,477,740,301,59,58,247,329,1520
1979-80,30,POR,NBA,C,76,0,2337,518,1008,.514,1,2,.500,517,1006,.514,.514,213,283,.753,189,384,573,194,45,53,174,270,1250
1980-81,31,POR,NBA,PF,79,0,1843,322,630,.511,0,4,.000,322,626,.514,.511,191,250,.764,165,291,456,140,36,47,130,273,835
1981-82,32,IND,NBA,PF,74,40,1599,299,636,.470,1,2,.500,298,634,.470,.471,181,226,.801,142,230,372,127,41,37,137,259,780
1982-83,33,DET,NBA,C,49,4,725,81,192,.422,0,0,0,81,192,.422,.422,45,66,.682,66,120,186,44,12,14,48,115,207
