Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,23,NYK,NBA,PG,56,12,1087,179,391,.458,68,175,.389,111,216,.514,.545,55,68,.809,40,68,108,112,42,3,55,116,481
2010-11,24,NYK,NBA,SG,81,9,1971,314,755,.416,143,383,.373,171,372,.460,.511,85,107,.794,65,179,244,244,89,4,89,177,856
2011-12,25,NYK,NBA,PG,38,9,656,94,290,.324,27,117,.231,67,173,.387,.371,22,26,.846,16,56,72,77,29,1,56,55,237
2012-13,26,TOT,NBA,PG,71,0,1289,188,466,.403,82,216,.380,106,250,.424,.491,76,84,.905,34,104,138,151,71,3,81,145,534
2012-13,26,HOU,NBA,PG,49,0,913,139,352,.395,61,162,.377,78,190,.411,.482,60,68,.882,23,67,90,93,40,2,56,103,399
2012-13,26,SAC,NBA,PG,22,0,376,49,114,.430,21,54,.389,28,60,.467,.522,16,16,1.000,11,37,48,58,31,1,25,42,135
2013-14,27,TOT,NBA,PG,51,17,675,73,190,.384,31,102,.304,42,88,.477,.466,25,34,.735,18,69,87,68,19,5,34,81,202
2013-14,27,GSW,NBA,PG,24,0,265,32,86,.372,19,59,.322,13,27,.481,.483,5,8,.625,4,22,26,19,6,2,16,34,88
2013-14,27,MIA,NBA,PG,27,17,410,41,104,.394,12,43,.279,29,61,.475,.452,20,26,.769,14,47,61,49,13,3,18,47,114
2014-15,28,NOP,NBA,PG,12,0,177,19,51,.373,5,18,.278,14,33,.424,.422,8,13,.615,2,20,22,24,11,4,10,20,51
