Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993-94,25,CHI,NBA,SF,75,8,1808,313,726,.431,32,118,.271,281,608,.462,.453,156,210,.743,98,199,297,252,81,33,167,122,814
1994-95,26,CHI,NBA,SF,81,55,2584,487,967,.504,62,198,.313,425,769,.553,.536,235,314,.748,155,285,440,372,102,16,165,163,1271
1995-96,27,CHI,NBA,SF,81,20,2103,386,787,.490,87,216,.403,299,571,.524,.546,206,267,.772,115,208,323,287,64,28,114,150,1065
1996-97,28,CHI,NBA,SF,57,15,1610,285,605,.471,50,151,.331,235,454,.518,.512,134,174,.770,94,167,261,256,60,29,91,97,754
1997-98,29,CHI,NBA,SF,74,52,2235,383,841,.455,63,174,.362,320,667,.480,.493,155,219,.708,121,206,327,314,76,37,154,149,984
1998-99,30,CHI,NBA,SF,44,44,1654,315,750,.420,39,137,.285,276,613,.450,.446,159,215,.740,65,245,310,235,49,11,121,82,828
1999-00,31,TOT,NBA,SF,56,31,1784,297,728,.408,44,168,.262,253,560,.452,.438,192,265,.725,75,198,273,265,77,28,146,112,830
1999-00,31,CHI,NBA,SF,24,23,868,148,388,.381,18,78,.231,130,310,.419,.405,118,155,.761,37,93,130,124,44,19,75,51,432
1999-00,31,PHI,NBA,SF,32,8,916,149,340,.438,26,90,.289,123,250,.492,.476,74,110,.673,38,105,143,141,33,9,71,61,398
2000-01,32,TOT,NBA,SF,65,19,1597,275,582,.473,70,157,.446,205,425,.482,.533,101,160,.631,66,193,259,199,48,11,111,98,721
2000-01,32,PHI,NBA,SF,48,5,979,151,330,.458,32,78,.410,119,252,.472,.506,52,88,.591,47,115,162,93,35,6,60,62,386
2000-01,32,ATL,NBA,SF,17,14,618,124,252,.492,38,79,.481,86,173,.497,.567,49,72,.681,19,78,97,106,13,5,51,36,335
2001-02,33,ATL,NBA,SF,59,9,1494,211,504,.419,53,171,.310,158,333,.474,.471,109,153,.712,43,175,218,210,48,17,113,91,584
2002-03,34,MIL,NBA,PF,63,0,1704,249,577,.432,95,263,.361,154,314,.490,.514,137,194,.706,67,199,266,230,81,29,122,134,730
2003-04,35,MIL,NBA,PF,73,0,1522,211,506,.417,49,168,.292,162,338,.479,.465,145,199,.729,60,211,271,200,59,21,110,110,616
2004-05,36,MIL,NBA,SF,53,6,1099,105,256,.410,42,116,.362,63,140,.450,.492,44,61,.721,31,129,160,160,39,13,64,70,296
2005-06,37,MIL,NBA,PF,65,0,1018,116,298,.389,45,147,.306,71,151,.470,.465,40,56,.714,26,124,150,139,33,17,66,87,317
