Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,21,GSW,NBA,PF,82,4,1448,178,423,.421,3,9,.333,175,414,.423,.424,121,156,.776,99,223,322,70,36,21,84,217,480
2002-03,22,GSW,NBA,PF,79,79,2510,338,749,.451,3,14,.214,335,735,.456,.453,244,290,.841,228,578,806,106,65,30,111,246,923
2003-04,23,GSW,NBA,PF,28,0,610,107,243,.440,5,17,.294,102,226,.451,.451,60,80,.750,48,125,173,20,12,17,34,58,279
2004-05,24,GSW,NBA,PF,70,69,2375,392,947,.414,59,148,.399,333,799,.417,.445,233,319,.730,251,505,756,97,53,33,108,190,1076
2005-06,25,GSW,NBA,PF,74,74,2516,363,838,.433,58,181,.320,305,657,.464,.468,251,319,.787,195,548,743,101,47,26,108,191,1035
2006-07,26,TOT,NBA,PF,68,48,1852,266,581,.458,58,147,.395,208,434,.479,.508,108,145,.745,100,314,414,126,46,42,78,196,698
2006-07,26,GSW,NBA,PF,26,17,667,81,180,.450,22,59,.373,59,121,.488,.511,47,66,.712,37,120,157,60,21,17,29,63,231
2006-07,26,IND,NBA,PF,42,31,1185,185,401,.461,36,88,.409,149,313,.476,.506,61,79,.772,63,194,257,66,25,25,49,133,467
2007-08,27,IND,NBA,PF,75,61,2106,315,693,.455,94,236,.398,221,457,.484,.522,192,241,.797,108,435,543,165,49,32,96,217,916
2008-09,28,IND,NBA,PF,73,73,2482,364,767,.475,161,358,.450,203,409,.496,.580,152,184,.826,146,715,861,172,58,34,114,226,1041
2009-10,29,IND,NBA,PF,72,69,2344,384,813,.472,128,333,.384,256,480,.533,.551,154,193,.798,129,608,737,150,72,34,100,175,1050
2010-11,30,TOT,NBA,PF,35,4,466,42,114,.368,5,33,.152,37,81,.457,.390,20,30,.667,22,91,113,23,15,3,20,47,109
2010-11,30,NJN,NBA,PF,18,4,288,26,76,.342,4,23,.174,22,53,.415,.368,9,17,.529,11,64,75,17,7,2,13,28,65
2010-11,30,BOS,NBA,PF,17,0,178,16,38,.421,1,10,.100,15,28,.536,.434,11,13,.846,11,27,38,6,8,1,7,19,44
2011-12,31,LAL,NBA,PF,59,0,956,77,171,.450,28,67,.418,49,104,.471,.532,6,9,.667,40,151,191,51,15,16,26,98,188
2012-13,32,DAL,NBA,PF,14,1,256,22,61,.361,11,35,.314,11,26,.423,.451,10,11,.909,7,42,49,7,10,6,7,29,65
