Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984-85,22,IND,NBA,PG,80,65,2486,433,922,.470,0,4,.000,433,918,.472,.470,260,339,.767,148,175,323,247,99,8,197,232,1126
1985-86,23,IND,NBA,PG,80,77,2870,436,862,.506,1,6,.167,435,856,.508,.506,263,353,.745,102,284,386,505,131,5,208,230,1136
1986-87,24,IND,NBA,PG,82,82,2549,370,727,.509,2,10,.200,368,717,.513,.510,238,302,.788,109,225,334,473,109,18,167,222,980
1987-88,25,IND,NBA,PG,80,80,2733,442,845,.523,0,13,.000,442,832,.531,.523,227,283,.802,106,258,364,568,115,11,175,225,1111
1988-89,26,IND,NBA,PG,76,69,2552,419,814,.515,3,23,.130,416,791,.526,.517,243,304,.799,85,225,310,494,77,12,192,212,1084
1989-90,27,IND,NBA,PG,82,82,2876,467,919,.508,12,34,.353,455,885,.514,.515,230,294,.782,118,204,322,610,92,10,206,213,1176
1990-91,28,IND,NBA,PG,69,45,1929,356,671,.531,4,18,.222,352,653,.539,.534,161,221,.729,83,131,214,369,76,13,137,116,877
1991-92,29,IND,NBA,PG,82,6,1737,294,610,.482,6,27,.222,288,583,.494,.487,132,179,.737,69,140,209,266,56,7,140,134,726
1992-93,30,IND,NBA,PG,75,8,1503,280,554,.505,7,36,.194,273,518,.527,.512,143,197,.726,63,106,169,224,63,9,121,126,710
1993-94,31,IND,NBA,PG,55,5,1053,147,318,.462,0,4,.000,147,314,.468,.462,64,87,.736,27,96,123,173,40,6,87,98,358
1994-95,32,IND,NBA,PG,55,1,686,93,188,.495,0,7,.000,93,181,.514,.495,65,90,.722,20,68,88,109,27,1,43,80,251
1995-96,33,NJN,NBA,PG,77,3,1747,227,524,.433,3,28,.107,224,496,.452,.436,133,177,.751,49,121,170,255,41,5,122,115,590
