Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1979-80,23,SEA,NBA,SG,38,0,325,45,115,.391,0,1,.000,45,114,.395,.391,31,39,.795,19,36,55,54,19,4,42,40,121
1980-81,24,SEA,NBA,PG,81,0,2311,419,785,.534,1,5,.200,418,780,.536,.534,214,270,.793,193,173,366,341,78,20,216,198,1053
1981-82,25,TOT,NBA,SG,74,15,1295,217,444,.489,3,12,.250,214,432,.495,.492,107,142,.754,82,77,159,171,56,25,96,101,544
1981-82,25,SEA,NBA,SG,7,0,104,9,22,.409,0,1,.000,9,21,.429,.409,9,12,.750,7,8,15,11,6,2,5,8,27
1981-82,25,DET,NBA,SG,67,15,1191,208,422,.493,3,11,.273,205,411,.499,.496,98,130,.754,75,69,144,160,50,23,91,93,517
1982-83,26,DET,NBA,SG,82,51,2511,520,1013,.513,11,40,.275,509,973,.523,.519,245,315,.778,167,186,353,301,93,49,152,263,1296
1983-84,27,DET,NBA,SG,82,0,1909,426,901,.473,4,19,.211,422,882,.478,.475,207,275,.753,130,107,237,271,44,19,135,196,1063
1984-85,28,DET,NBA,SG,82,16,2093,428,942,.454,5,27,.185,423,915,.462,.457,190,247,.769,134,118,252,325,71,20,135,205,1051
1985-86,29,DET,NBA,SG,79,12,1978,465,996,.467,2,13,.154,463,983,.471,.468,165,214,.771,119,107,226,269,80,23,88,180,1097
1986-87,30,DET,NBA,SG,78,8,2166,533,1154,.462,4,14,.286,529,1140,.464,.464,158,201,.786,123,134,257,300,92,16,133,159,1228
1987-88,31,DET,NBA,SG,82,1,1935,425,959,.443,5,24,.208,420,935,.449,.446,147,217,.677,90,141,231,267,58,18,152,164,1002
1988-89,32,DET,NBA,SG,82,21,2073,462,996,.464,13,44,.295,449,952,.472,.470,193,263,.734,109,146,255,242,74,17,105,155,1130
1989-90,33,DET,NBA,SG,82,12,1972,334,775,.431,5,34,.147,329,741,.444,.434,131,196,.668,108,148,256,255,71,13,123,143,804
1990-91,34,DET,NBA,SG,82,28,2390,406,936,.434,11,34,.324,395,902,.438,.440,135,209,.646,110,170,280,271,75,15,118,166,958
1991-92,35,SAS,NBA,SG,60,23,1350,202,499,.405,19,60,.317,183,439,.417,.424,55,85,.647,67,115,182,145,41,14,74,93,478
