Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995-96,22,MIA,NBA,SG,30,0,323,53,141,.376,36,101,.356,17,40,.425,.504,34,43,.791,12,40,52,31,6,1,23,31,176
1996-97,23,MIA,NBA,SG,73,47,2111,314,684,.459,183,442,.414,131,242,.541,.593,86,105,.819,38,179,217,161,50,18,109,168,897
1997-98,24,MIA,NBA,SG,81,81,2621,363,854,.425,153,378,.405,210,476,.441,.515,141,179,.788,72,220,292,180,58,16,99,219,1020
1998-99,25,MIA,NBA,SG,12,2,190,31,79,.392,12,35,.343,19,44,.432,.468,8,11,.727,4,12,16,10,3,1,7,18,82
1999-00,26,MIA,NBA,SG,53,13,1434,228,560,.407,89,228,.390,139,332,.419,.487,84,106,.792,37,116,153,136,41,15,80,127,629
2000-01,27,DEN,NBA,SG,80,58,2331,336,846,.397,147,382,.385,189,464,.407,.484,153,192,.797,47,184,231,190,65,18,102,170,972
2001-02,28,DEN,NBA,SG,71,19,1665,315,769,.410,89,240,.371,226,529,.427,.467,94,120,.783,38,145,183,130,59,25,91,105,813
2002-03,29,TOR,NBA,SG,63,24,1929,325,809,.402,92,252,.365,233,557,.418,.459,156,194,.804,48,164,212,144,59,21,103,156,898
2003-04,30,DEN,NBA,SG,73,70,2233,394,933,.422,106,289,.367,288,644,.447,.479,144,182,.791,46,154,200,151,61,12,101,177,1038
2004-05,31,DEN,NBA,SG,3,1,54,10,26,.385,4,12,.333,6,14,.429,.462,5,8,.625,0,6,6,6,1,0,2,2,29
2005-06,32,TOT,NBA,SG,26,6,458,75,191,.393,25,78,.321,50,113,.442,.458,16,31,.516,5,42,47,41,21,4,31,39,191
2005-06,32,DEN,NBA,SG,12,6,238,42,103,.408,10,35,.286,32,68,.471,.456,5,13,.385,2,26,28,18,8,2,11,21,99
2005-06,32,POR,NBA,SG,14,0,220,33,88,.375,15,43,.349,18,45,.400,.460,11,18,.611,3,16,19,23,13,2,20,18,92
