Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,22,MIN,NBA,SF,73,53,2171,342,669,.511,28,78,.359,314,591,.531,.532,133,161,.826,89,183,272,201,58,23,83,175,845
2000-01,23,MIN,NBA,SF,82,82,2856,469,920,.510,26,77,.338,443,843,.526,.524,181,208,.870,133,314,447,260,59,33,138,226,1145
2001-02,24,MIN,NBA,SF,82,82,3117,609,1200,.508,87,191,.455,522,1009,.517,.544,226,272,.831,120,271,391,257,66,21,181,188,1531
2002-03,25,MIN,NBA,SF,52,42,1836,351,729,.481,61,145,.421,290,584,.497,.523,150,173,.867,53,188,241,136,44,22,87,123,913
2003-04,26,MIN,NBA,SF,28,0,622,106,236,.449,20,46,.435,86,190,.453,.492,53,64,.828,24,64,88,33,12,1,28,42,285
2004-05,27,MIN,NBA,SF,81,37,2558,465,919,.506,63,169,.373,402,750,.536,.540,260,304,.855,82,221,303,191,40,16,132,178,1253
2005-06,28,TOT,NBA,SF,72,71,2729,493,1012,.487,102,255,.400,391,757,.517,.538,278,310,.897,77,236,313,213,40,19,136,150,1366
2005-06,28,MIN,NBA,SF,40,40,1555,292,590,.495,58,143,.406,234,447,.523,.544,163,182,.896,36,154,190,112,21,15,86,90,805
2005-06,28,BOS,NBA,SF,32,31,1174,201,422,.476,44,112,.393,157,310,.506,.528,115,128,.898,41,82,123,101,19,4,50,60,561
2006-07,29,BOS,NBA,SF,32,19,900,161,388,.415,44,106,.415,117,282,.415,.472,113,126,.897,16,82,98,55,18,3,54,65,479
2007-08,30,TOT,NBA,SF,75,2,1736,311,722,.431,90,218,.413,221,504,.438,.493,149,175,.851,34,183,217,104,23,12,76,103,861
2007-08,30,SEA,NBA,SF,50,1,1180,236,513,.460,71,166,.428,165,347,.476,.529,113,134,.843,16,120,136,69,14,5,56,67,656
2007-08,30,CLE,NBA,SF,25,1,556,75,209,.359,19,52,.365,56,157,.357,.404,36,41,.878,18,63,81,35,9,7,20,36,205
2008-09,31,CLE,NBA,SF,74,5,1527,179,398,.450,69,168,.411,110,230,.478,.536,90,106,.849,43,189,232,82,28,10,55,130,517
