Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,24,ANA,ABA,PF,54,0,1816,343,758,.453,1,7,.143,342,751,.455,.453,229,353,.649,221,345,566,75,0,0,128,193,916
1968-69,25,LAS,ABA,PF,78,0,2406,356,711,.501,0,2,.000,356,709,.502,.501,282,433,.651,254,523,777,129,0,0,183,269,994
1969-70,26,TOT,ABA,PF,80,0,2647,428,861,.497,1,3,.333,427,858,.498,.498,304,418,.727,278,629,907,244,0,0,274,300,1161
1969-70,26,LAS,ABA,PF,46,0,1502,277,560,.495,1,1,1.000,276,559,.494,.496,179,232,.772,164,336,500,105,0,0,154,175,734
1969-70,26,PTP,ABA,PF,34,0,1145,151,301,.502,0,2,.000,151,299,.505,.502,125,186,.672,114,293,407,139,0,0,120,125,427
1970-71,27,FLO,ABA,PF,76,0,1995,308,686,.449,0,2,.000,308,684,.450,.449,209,300,.697,224,415,639,170,0,0,175,254,825
1971-72,28,TOT,ABA,PF,86,0,2331,337,701,.481,0,2,.000,337,699,.482,.481,207,299,.692,250,443,693,180,0,0,187,279,881
1971-72,28,CAR,ABA,PF,41,0,1348,223,464,.481,0,1,.000,223,463,.482,.481,111,163,.681,136,234,370,99,0,0,114,162,557
1971-72,28,MMP,ABA,PF,45,0,983,114,237,.481,0,1,.000,114,236,.483,.481,96,136,.706,114,209,323,81,0,0,73,117,324
1972-73,29,MMT,ABA,SF,73,0,1895,250,498,.502,0,0,0,250,498,.502,.502,172,227,.758,153,362,515,146,0,0,129,212,672
