Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,22,BAL,NBA,C,82,0,2970,427,897,.476,0,0,0,427,897,.476,.476,277,458,.605,0,0,1491,213,0,0,0,276,1131
1969-70,23,BAL,NBA,C,82,0,3234,526,1015,.518,0,0,0,526,1015,.518,.518,273,428,.638,0,0,1370,291,0,0,0,250,1325
1970-71,24,BAL,NBA,C,74,0,2904,424,846,.501,0,0,0,424,846,.501,.501,199,303,.657,0,0,1253,293,0,0,0,235,1047
1971-72,25,BAL,NBA,C,76,0,3171,409,822,.498,0,0,0,409,822,.498,.498,171,272,.629,0,0,1336,278,0,0,0,218,989
1972-73,26,BAL,NBA,C,79,0,3085,421,854,.493,0,0,0,421,854,.493,.493,149,212,.703,0,0,1260,347,0,0,0,168,991
1973-74,27,CAP,NBA,C,56,0,1727,146,333,.438,0,0,0,146,333,.438,.438,36,55,.655,152,365,517,159,56,16,0,121,328
1974-75,28,WSB,NBA,C,73,0,2904,273,544,.502,0,0,0,273,544,.502,.502,126,184,.685,318,759,1077,297,115,68,0,180,672
1975-76,29,WSB,NBA,C,78,0,2922,318,567,.561,0,0,0,318,567,.561,.561,114,195,.585,271,765,1036,404,84,59,0,203,750
1976-77,30,WSB,NBA,C,82,0,2860,270,551,.490,0,0,0,270,551,.490,.490,100,166,.602,243,634,877,363,87,45,0,253,640
1977-78,31,WSB,NBA,C,80,0,2644,257,491,.523,0,0,0,257,491,.523,.523,93,173,.538,286,669,955,326,98,45,173,234,607
1978-79,32,WSB,NBA,C,77,0,2406,346,600,.577,0,0,0,346,600,.577,.577,151,235,.643,274,556,830,315,71,37,156,204,843
1979-80,33,WSB,NBA,C,82,0,2973,327,637,.513,1,2,.500,326,635,.513,.514,139,209,.665,334,760,1094,366,65,61,153,249,794
1980-81,34,WSB,NBA,C,63,0,2032,225,429,.524,2,4,.500,223,425,.525,.527,55,86,.640,207,466,673,170,52,36,97,171,507
