Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1964-65,22,NYK,NBA,C,80,0,3042,629,1457,.432,0,0,0,629,1457,.432,.432,302,407,.742,0,0,1175,133,0,0,0,339,1560
1965-66,23,NYK,NBA,PF,76,0,2537,438,1009,.434,0,0,0,438,1009,.434,.434,302,399,.757,0,0,883,91,0,0,0,323,1178
1966-67,24,NYK,NBA,PF,78,0,2824,635,1298,.489,0,0,0,635,1298,.489,.489,358,487,.735,0,0,1136,126,0,0,0,293,1628
1967-68,25,NYK,NBA,PF,81,0,2879,659,1346,.490,0,0,0,659,1346,.490,.490,367,509,.721,0,0,1073,159,0,0,0,343,1685
1968-69,26,NYK,NBA,C,82,0,3108,704,1351,.521,0,0,0,704,1351,.521,.521,325,435,.747,0,0,1191,190,0,0,0,314,1733
1969-70,27,NYK,NBA,C,81,0,3089,702,1385,.507,0,0,0,702,1385,.507,.507,351,464,.756,0,0,1126,161,0,0,0,287,1755
1970-71,28,NYK,NBA,C,73,0,2855,614,1330,.462,0,0,0,614,1330,.462,.462,299,381,.785,0,0,1003,148,0,0,0,228,1527
1971-72,29,NYK,NBA,C,11,0,363,60,137,.438,0,0,0,60,137,.438,.438,27,39,.692,0,0,96,22,0,0,0,30,147
1972-73,30,NYK,NBA,C,69,0,1876,334,705,.474,0,0,0,334,705,.474,.474,92,124,.742,0,0,590,126,0,0,0,205,760
1973-74,31,NYK,NBA,C,19,0,500,84,184,.457,0,0,0,84,184,.457,.457,42,53,.792,47,94,141,30,12,21,0,49,210
