Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987-88,23,GSW,NBA,PG,67,62,2122,340,775,.439,13,39,.333,327,736,.444,.447,138,157,.879,68,159,227,429,116,7,167,188,831
1988-89,24,GSW,NBA,PG,79,79,2661,466,1074,.434,10,43,.233,456,1031,.442,.439,203,251,.809,101,227,328,505,175,14,187,216,1145
1989-90,25,TOT,NBA,PG,79,19,1762,230,573,.401,12,36,.333,218,537,.406,.412,102,122,.836,51,163,214,303,78,10,158,152,574
1989-90,25,GSW,NBA,PG,51,4,891,108,288,.375,1,10,.100,107,278,.385,.377,53,63,.841,31,80,111,157,48,5,81,77,270
1989-90,25,LAC,NBA,PG,28,15,871,122,285,.428,11,26,.423,111,259,.429,.447,49,59,.831,20,83,103,146,30,5,77,75,304
1990-91,26,LAC,NBA,PG,69,26,1702,221,519,.426,4,26,.154,217,493,.440,.430,118,157,.752,46,152,198,317,97,10,116,189,564
1991-92,27,DEN,NBA,PG,78,67,2209,333,750,.444,9,28,.321,324,722,.449,.450,171,199,.859,67,123,190,411,98,22,175,206,846
1992-93,28,HOU,NBA,PG,66,4,1004,152,343,.443,6,13,.462,146,330,.442,.452,81,89,.910,32,76,108,138,39,4,67,116,391
1993-94,29,Did Not Play(other pro leagueItaly)
1994-95,30,MIN,NBA,PG,73,58,1931,170,410,.415,19,75,.253,151,335,.451,.438,89,112,.795,48,120,168,318,71,13,105,184,448
